from_asset,to_asset,carrier
NO_Wind_Onshore,NO_E_Demand,electricity
NO_Wind_Offshore,NO_E_Demand,electricity
NO_Solar,NO_E_Demand,electricity
NO_E_Demand,NO_Pump_Hydro_Open,electricity
NO_Pump_Hydro_Open,NO_E_Demand,electricity
NO_Hydro_Reservoir,NO_E_Demand,electricity
ES_E_ENS,ES_E_Demand,electricity
ES_Wind_Onshore,ES_E_Demand,electricity
ES_Wind_Offshore,ES_E_Demand,electricity
ES_Solar,ES_E_Demand,electricity
ES_Hydro,ES_E_Demand,electricity
ES_Hydro_Reservoir,ES_E_Demand,electricity
ES_Nuclear,ES_E_Demand,electricity
ES_E_Demand,ES_Battery,electricity
ES_Battery,ES_E_Demand,electricity
ES_E_Demand,ES_Pump_Hydro_Closed,electricity
ES_Pump_Hydro_Closed,ES_E_Demand,electricity
ES_E_Demand,ES_Pump_Hydro_Open,electricity
ES_Pump_Hydro_Open,ES_E_Demand,electricity
ES_Gas,ES_E_Demand,electricity
PT_E_ENS,PT_E_Demand,electricity
PT_Wind_Onshore,PT_E_Demand,electricity
PT_Wind_Offshore,PT_E_Demand,electricity
PT_Solar,PT_E_Demand,electricity
PT_Hydro,PT_E_Demand,electricity
PT_Hydro_Reservoir,PT_E_Demand,electricity
PT_E_Demand,PT_Pump_Hydro_Open,electricity
PT_Pump_Hydro_Open,PT_E_Demand,electricity
PT_Gas,PT_E_Demand,electricity
IT_E_ENS,IT_E_Demand,electricity
IT_Wind_Onshore,IT_E_Demand,electricity
IT_Wind_Offshore,IT_E_Demand,electricity
IT_Solar,IT_E_Demand,electricity
IT_Hydro,IT_E_Demand,electricity
IT_Hydro_Reservoir,IT_E_Demand,electricity
IT_E_Demand,IT_Battery,electricity
IT_Battery,IT_E_Demand,electricity
IT_E_Demand,IT_Pump_Hydro_Closed,electricity
IT_Pump_Hydro_Closed,IT_E_Demand,electricity
IT_E_Demand,IT_Pump_Hydro_Open,electricity
IT_Pump_Hydro_Open,IT_E_Demand,electricity
IT_Gas,IT_E_Demand,electricity
IT_OCGT,IT_E_Demand,electricity
MT_E_ENS,MT_E_Demand,electricity
MT_Solar,MT_E_Demand,electricity
MT_Gas,MT_E_Demand,electricity
SI_E_ENS,SI_E_Demand,electricity
SI_Wind_Onshore,SI_E_Demand,electricity
SI_Wind_Offshore,SI_E_Demand,electricity
SI_Solar,SI_E_Demand,electricity
SI_Hydro,SI_E_Demand,electricity
SI_Nuclear,SI_E_Demand,electricity
SI_E_Demand,SI_Battery,electricity
SI_Battery,SI_E_Demand,electricity
SI_E_Demand,SI_Pump_Hydro_Closed,electricity
SI_Pump_Hydro_Closed,SI_E_Demand,electricity
SI_Coal,SI_E_Demand,electricity
SI_Gas,SI_E_Demand,electricity
SI_OCGT,SI_E_Demand,electricity
HU_E_ENS,HU_E_Demand,electricity
HU_Wind_Onshore,HU_E_Demand,electricity
HU_Solar,HU_E_Demand,electricity
HU_Hydro,HU_E_Demand,electricity
HU_Nuclear,HU_E_Demand,electricity
HU_E_Demand,HU_Battery,electricity
HU_Battery,HU_E_Demand,electricity
HU_Gas,HU_E_Demand,electricity
HU_OCGT,HU_E_Demand,electricity
SK_E_ENS,SK_E_Demand,electricity
SK_Wind_Onshore,SK_E_Demand,electricity
SK_Solar,SK_E_Demand,electricity
SK_Hydro,SK_E_Demand,electricity
SK_Hydro_Reservoir,SK_E_Demand,electricity
SK_Nuclear,SK_E_Demand,electricity
SK_E_Demand,SK_Pump_Hydro_Closed,electricity
SK_Pump_Hydro_Closed,SK_E_Demand,electricity
SK_E_Demand,SK_Pump_Hydro_Open,electricity
SK_Pump_Hydro_Open,SK_E_Demand,electricity
SK_Coal,SK_E_Demand,electricity
SK_Gas,SK_E_Demand,electricity
LT_E_ENS,LT_E_Demand,electricity
LT_Wind_Onshore,LT_E_Demand,electricity
LT_Wind_Offshore,LT_E_Demand,electricity
LT_Solar,LT_E_Demand,electricity
LT_Hydro,LT_E_Demand,electricity
LT_E_Demand,LT_Battery,electricity
LT_Battery,LT_E_Demand,electricity
LT_E_Demand,LT_Pump_Hydro_Closed,electricity
LT_Pump_Hydro_Closed,LT_E_Demand,electricity
LT_Gas,LT_E_Demand,electricity
LV_E_ENS,LV_E_Demand,electricity
LV_Wind_Onshore,LV_E_Demand,electricity
LV_Wind_Offshore,LV_E_Demand,electricity
LV_Solar,LV_E_Demand,electricity
LV_Hydro,LV_E_Demand,electricity
LV_Gas,LV_E_Demand,electricity
EE_E_ENS,EE_E_Demand,electricity
EE_Wind_Onshore,EE_E_Demand,electricity
EE_Wind_Offshore,EE_E_Demand,electricity
EE_Solar,EE_E_Demand,electricity
FI_E_ENS,FI_E_Demand,electricity
FI_Wind_Onshore,FI_E_Demand,electricity
FI_Wind_Offshore,FI_E_Demand,electricity
FI_Solar,FI_E_Demand,electricity
FI_Hydro_Reservoir,FI_E_Demand,electricity
FI_Nuclear,FI_E_Demand,electricity
FI_E_Demand,FI_Battery,electricity
FI_Battery,FI_E_Demand,electricity
FI_Gas,FI_E_Demand,electricity
FI_OCGT,FI_E_Demand,electricity
HR_E_ENS,HR_E_Demand,electricity
HR_Wind_Onshore,HR_E_Demand,electricity
HR_Wind_Offshore,HR_E_Demand,electricity
HR_Solar,HR_E_Demand,electricity
HR_Hydro,HR_E_Demand,electricity
HR_Hydro_Reservoir,HR_E_Demand,electricity
HR_E_Demand,HR_Battery,electricity
HR_Battery,HR_E_Demand,electricity
HR_E_Demand,HR_Pump_Hydro_Open,electricity
HR_Pump_Hydro_Open,HR_E_Demand,electricity
HR_Coal,HR_E_Demand,electricity
HR_Gas,HR_E_Demand,electricity
GR_E_ENS,GR_E_Demand,electricity
GR_Wind_Onshore,GR_E_Demand,electricity
GR_Wind_Offshore,GR_E_Demand,electricity
GR_Solar,GR_E_Demand,electricity
GR_Hydro,GR_E_Demand,electricity
GR_Hydro_Reservoir,GR_E_Demand,electricity
GR_E_Demand,GR_Battery,electricity
GR_Battery,GR_E_Demand,electricity
GR_E_Demand,GR_Pump_Hydro_Closed,electricity
GR_Pump_Hydro_Closed,GR_E_Demand,electricity
GR_E_Demand,GR_Pump_Hydro_Open,electricity
GR_Pump_Hydro_Open,GR_E_Demand,electricity
GR_Gas,GR_E_Demand,electricity
GR_OCGT,GR_E_Demand,electricity
BG_E_ENS,BG_E_Demand,electricity
BG_Wind_Onshore,BG_E_Demand,electricity
BG_Solar,BG_E_Demand,electricity
BG_Hydro,BG_E_Demand,electricity
BG_Hydro_Reservoir,BG_E_Demand,electricity
BG_Nuclear,BG_E_Demand,electricity
BG_E_Demand,BG_Pump_Hydro_Closed,electricity
BG_Pump_Hydro_Closed,BG_E_Demand,electricity
BG_E_Demand,BG_Pump_Hydro_Open,electricity
BG_Pump_Hydro_Open,BG_E_Demand,electricity
BG_Coal,BG_E_Demand,electricity
BG_Gas,BG_E_Demand,electricity
BG_OCGT,BG_E_Demand,electricity
RO_E_ENS,RO_E_Demand,electricity
RO_Wind_Onshore,RO_E_Demand,electricity
RO_Wind_Offshore,RO_E_Demand,electricity
RO_Solar,RO_E_Demand,electricity
RO_Hydro,RO_E_Demand,electricity
RO_Hydro_Reservoir,RO_E_Demand,electricity
RO_Nuclear,RO_E_Demand,electricity
RO_E_Demand,RO_Battery,electricity
RO_Battery,RO_E_Demand,electricity
RO_E_Demand,RO_Pump_Hydro_Open,electricity
RO_Pump_Hydro_Open,RO_E_Demand,electricity
RO_Coal,RO_E_Demand,electricity
RO_Gas,RO_E_Demand,electricity
RO_OCGT,RO_E_Demand,electricity
CY_E_ENS,CY_E_Demand,electricity
CY_Wind_Onshore,CY_E_Demand,electricity
CY_Solar,CY_E_Demand,electricity
CY_E_Demand,CY_Battery,electricity
CY_Battery,CY_E_Demand,electricity
CY_Gas,CY_E_Demand,electricity
DK_Battery,DK_E_Demand,electricity
BG_Battery,BG_E_Demand,electricity
FR_Battery,FR_E_Demand,electricity
LV_Battery,LV_E_Demand,electricity
PT_Battery,PT_E_Demand,electricity
SK_Battery,SK_E_Demand,electricity
OBZLL_Wind_Offshore,OBZLL_E_Demand,electricity
NL_E_Demand,NL_electrolyzer,electricity
NL_electrolyzer,NL_H_Demand,hydrogen
EU_SMR_CCS,NL_H_Demand,hydrogen
BE_E_Demand,BE_electrolyzer,electricity
BE_electrolyzer,BE_H_Demand,hydrogen
EU_SMR_CCS,BE_H_Demand,hydrogen
DE_E_Demand,DE_electrolyzer,electricity
DE_electrolyzer,DE_H_Demand,hydrogen
EU_SMR_CCS,DE_H_Demand,hydrogen
FR_E_Demand,FR_electrolyzer,electricity
FR_electrolyzer,FR_H_Demand,hydrogen
EU_SMR_CCS,FR_H_Demand,hydrogen
DK_E_Demand,DK_electrolyzer,electricity
DK_electrolyzer,DK_H_Demand,hydrogen
EU_SMR_CCS,DK_H_Demand,hydrogen
UK_E_Demand,UK_electrolyzer,electricity
UK_electrolyzer,UK_H_Demand,hydrogen
EU_SMR_CCS,UK_H_Demand,hydrogen
IE_E_Demand,IE_electrolyzer,electricity
IE_electrolyzer,IE_H_Demand,hydrogen
EU_SMR_CCS,IE_H_Demand,hydrogen
CH_E_Demand,CH_electrolyzer,electricity
CH_electrolyzer,CH_H_Demand,hydrogen
EU_SMR_CCS,CH_H_Demand,hydrogen
AT_E_Demand,AT_electrolyzer,electricity
AT_electrolyzer,AT_H_Demand,hydrogen
EU_SMR_CCS,AT_H_Demand,hydrogen
LU_E_Demand,LU_electrolyzer,electricity
LU_electrolyzer,LU_H_Demand,hydrogen
EU_SMR_CCS,LU_H_Demand,hydrogen
CZ_E_Demand,CZ_electrolyzer,electricity
CZ_electrolyzer,CZ_H_Demand,hydrogen
EU_SMR_CCS,CZ_H_Demand,hydrogen
PL_E_Demand,PL_electrolyzer,electricity
PL_electrolyzer,PL_H_Demand,hydrogen
EU_SMR_CCS,PL_H_Demand,hydrogen
SE_E_Demand,SE_electrolyzer,electricity
SE_electrolyzer,SE_H_Demand,hydrogen
EU_SMR_CCS,SE_H_Demand,hydrogen
NO_E_Demand,NO_electrolyzer,electricity
NO_electrolyzer,NO_H_Demand,hydrogen
EU_SMR_CCS,NO_H_Demand,hydrogen
ES_E_Demand,ES_electrolyzer,electricity
ES_electrolyzer,ES_H_Demand,hydrogen
EU_SMR_CCS,ES_H_Demand,hydrogen
PT_E_Demand,PT_electrolyzer,electricity
PT_electrolyzer,PT_H_Demand,hydrogen
EU_SMR_CCS,PT_H_Demand,hydrogen
IT_E_Demand,IT_electrolyzer,electricity
IT_electrolyzer,IT_H_Demand,hydrogen
EU_SMR_CCS,IT_H_Demand,hydrogen
MT_E_Demand,MT_electrolyzer,electricity
MT_electrolyzer,MT_H_Demand,hydrogen
EU_SMR_CCS,MT_H_Demand,hydrogen
SI_E_Demand,SI_electrolyzer,electricity
SI_electrolyzer,SI_H_Demand,hydrogen
EU_SMR_CCS,SI_H_Demand,hydrogen
HU_E_Demand,HU_electrolyzer,electricity
HU_electrolyzer,HU_H_Demand,hydrogen
EU_SMR_CCS,HU_H_Demand,hydrogen
SK_E_Demand,SK_electrolyzer,electricity
SK_electrolyzer,SK_H_Demand,hydrogen
EU_SMR_CCS,SK_H_Demand,hydrogen
LT_E_Demand,LT_electrolyzer,electricity
LT_electrolyzer,LT_H_Demand,hydrogen
EU_SMR_CCS,LT_H_Demand,hydrogen
LV_E_Demand,LV_electrolyzer,electricity
LV_electrolyzer,LV_H_Demand,hydrogen
EU_SMR_CCS,LV_H_Demand,hydrogen
EE_E_Demand,EE_electrolyzer,electricity
EE_electrolyzer,EE_H_Demand,hydrogen
EU_SMR_CCS,EE_H_Demand,hydrogen
FI_E_Demand,FI_electrolyzer,electricity
FI_electrolyzer,FI_H_Demand,hydrogen
EU_SMR_CCS,FI_H_Demand,hydrogen
HR_E_Demand,HR_electrolyzer,electricity
HR_electrolyzer,HR_H_Demand,hydrogen
EU_SMR_CCS,HR_H_Demand,hydrogen
GR_E_Demand,GR_electrolyzer,electricity
GR_electrolyzer,GR_H_Demand,hydrogen
EU_SMR_CCS,GR_H_Demand,hydrogen
BG_E_Demand,BG_electrolyzer,electricity
BG_electrolyzer,BG_H_Demand,hydrogen
EU_SMR_CCS,BG_H_Demand,hydrogen
RO_E_Demand,RO_electrolyzer,electricity
RO_electrolyzer,RO_H_Demand,hydrogen
EU_SMR_CCS,RO_H_Demand,hydrogen
CY_E_Demand,CY_electrolyzer,electricity
CY_electrolyzer,CY_H_Demand,hydrogen
EU_SMR_CCS,CY_H_Demand,hydrogen
OBZLL_E_Demand,OBZLL_electrolyzer,electricity
OBZLL_electrolyzer,OBZLL_H_Demand,hydrogen
EU_SMR_CCS,OBZLL_H_Demand,hydrogen
