year,period,rep_period,weight
2030,186,2,1.0
2030,187,2,1.0
2030,188,3,1.0
2030,189,3,1.0
2030,190,3,1.0
2030,191,1,1.0
2030,192,1,1.0
2030,193,2,1.0
2030,194,2,1.0
2030,195,2,1.0
2030,196,2,1.0
2030,197,2,1.0
2030,198,3,1.0
2030,199,3,1.0
2030,200,3,1.0
2030,201,1,1.0
2030,202,1,1.0
2030,203,2,1.0
2030,204,2,1.0
2030,205,2,1.0
2030,206,2,1.0
2030,207,2,1.0
2030,208,3,1.0
2030,209,3,1.0
2030,210,3,1.0
2030,211,1,1.0
2030,212,1,1.0
2030,213,2,1.0
2030,214,2,1.0
2030,215,2,1.0
2030,216,2,1.0
2030,217,2,1.0
2030,218,3,1.0
2030,219,3,1.0
2030,220,3,1.0
2030,221,1,1.0
2030,222,1,1.0
2030,223,2,1.0
2030,224,2,1.0
2030,225,2,1.0
2030,226,2,1.0
2030,227,2,1.0
2030,228,3,1.0
2030,229,3,1.0
2030,230,3,1.0
2030,231,1,1.0
2030,232,1,1.0
2030,233,2,1.0
2030,234,2,1.0
2030,235,2,1.0
2030,236,2,1.0
2030,237,2,1.0
2030,238,3,1.0
2030,239,3,1.0
2030,240,3,1.0
2030,241,1,1.0
2030,242,1,1.0
2030,243,2,1.0
2030,244,2,1.0
2030,245,2,1.0
2030,246,2,1.0
2030,247,2,1.0
2030,248,3,1.0
2030,249,3,1.0
2030,250,3,1.0
2030,251,1,1.0
2030,252,1,1.0
2030,253,2,1.0
2030,254,2,1.0
2030,255,2,1.0
2030,256,2,1.0
2030,257,2,1.0
2030,258,3,1.0
2030,259,3,1.0
2030,260,3,1.0
2030,261,1,1.0
2030,262,1,1.0
2030,263,2,1.0
2030,264,2,1.0
2030,265,2,1.0
2030,266,2,1.0
2030,267,2,1.0
2030,268,3,1.0
2030,269,3,1.0
2030,270,3,1.0
2030,271,1,1.0
2030,272,1,1.0
2030,273,2,1.0
2030,274,2,1.0
2030,275,2,1.0
2030,276,2,1.0
2030,277,2,1.0
2030,278,3,1.0
2030,279,3,1.0
2030,280,3,1.0
2030,281,1,1.0
2030,282,1,1.0
2030,283,2,1.0
2030,284,2,1.0
2030,285,2,1.0
2030,286,2,1.0
2030,287,2,1.0
2030,288,3,1.0
2030,289,3,1.0
2030,290,3,1.0
2030,291,1,1.0
2030,292,1,1.0
2030,293,2,1.0
2030,294,2,1.0
2030,295,2,1.0
2030,296,2,1.0
2030,297,2,1.0
2030,298,3,1.0
2030,299,3,1.0
2030,300,3,1.0
2030,301,1,1.0
2030,302,1,1.0
2030,303,2,1.0
2030,304,2,1.0
2030,305,2,1.0
2030,306,2,1.0
2030,307,2,1.0
2030,308,3,1.0
2030,309,3,1.0
2030,310,3,1.0
2030,311,1,1.0
2030,312,1,1.0
2030,313,2,1.0
2030,314,2,1.0
2030,315,2,1.0
2030,316,2,1.0
2030,317,2,1.0
2030,318,3,1.0
2030,319,3,1.0
2030,320,3,1.0
2030,321,1,1.0
2030,322,1,1.0
2030,323,2,1.0
2030,324,2,1.0
2030,325,2,1.0
2030,326,2,1.0
2030,327,2,1.0
2030,328,3,1.0
2030,329,3,1.0
2030,330,3,1.0
2030,331,1,1.0
2030,332,1,1.0
2030,333,2,1.0
2030,334,2,1.0
2030,335,2,1.0
2030,336,2,1.0
2030,337,2,1.0
2030,338,3,1.0
2030,339,3,1.0
2030,340,3,1.0
2030,341,1,1.0
2030,342,1,1.0
2030,343,2,1.0
2030,344,2,1.0
2030,345,2,1.0
2030,346,2,1.0
2030,347,2,1.0
2030,348,3,1.0
2030,349,3,1.0
2030,350,3,1.0
2030,351,1,1.0
2030,352,1,1.0
2030,353,2,1.0
2030,354,2,1.0
2030,355,2,1.0
2030,356,2,1.0
2030,357,2,1.0
2030,358,3,1.0
2030,359,3,1.0
2030,360,3,1.0
2030,361,1,1.0
2030,362,2,1.0
2030,363,2,1.0
2030,364,3,1.0
2030,365,2,0.5
2030,365,3,0.5
2050,1,1,1.0
2050,2,1,1.0
2050,3,2,1.0
2050,4,2,1.0
2050,5,2,1.0
2050,6,2,1.0
2050,7,2,1.0
2050,8,3,1.0
2050,9,3,1.0
2050,10,3,1.0
2050,11,1,1.0
2050,12,1,1.0
2050,13,2,1.0
2050,14,2,1.0
2050,15,2,1.0
2050,16,2,1.0
2050,17,2,1.0
2050,18,3,1.0
2050,19,3,1.0
2050,20,3,1.0
2050,21,1,1.0
2050,22,1,1.0
2050,23,2,1.0
2050,24,2,1.0
2050,25,2,1.0
2050,26,2,1.0
2050,27,2,1.0
2050,28,3,1.0
2050,29,3,1.0
2050,30,3,1.0
2050,31,1,1.0
2050,32,1,1.0
2050,33,2,1.0
2050,34,2,1.0
2050,35,2,1.0
2050,36,2,1.0
2050,37,2,1.0
2050,38,3,1.0
2050,39,3,1.0
2050,40,3,1.0
2050,41,1,1.0
2050,42,1,1.0
2050,43,2,1.0
2050,44,2,1.0
2050,45,2,1.0
2050,46,2,1.0
2050,47,2,1.0
2050,48,3,1.0
2050,49,3,1.0
2050,50,3,1.0
2050,51,1,1.0
2050,52,1,1.0
2050,53,2,1.0
2050,54,2,1.0
2050,55,2,1.0
2050,56,2,1.0
2050,57,2,1.0
2050,58,3,1.0
2050,59,3,1.0
2050,60,3,1.0
2050,61,1,1.0
2050,62,1,1.0
2050,63,2,1.0
2050,64,2,1.0
2050,65,2,1.0
2050,66,2,1.0
2050,67,2,1.0
2050,68,3,1.0
2050,69,3,1.0
2050,70,3,1.0
2050,71,1,1.0
2050,72,1,1.0
2050,73,2,1.0
2050,74,2,1.0
2050,75,2,1.0
2050,76,2,1.0
2050,77,2,1.0
2050,78,3,1.0
2050,79,3,1.0
2050,80,3,1.0
2050,81,1,1.0
2050,82,1,1.0
2050,83,2,1.0
2050,84,2,1.0
2050,85,2,1.0
2050,86,2,1.0
2050,87,2,1.0
2050,88,3,1.0
2050,89,3,1.0
2050,90,3,1.0
2050,91,1,1.0
2050,92,1,1.0
2050,93,2,1.0
2050,94,2,1.0
2050,95,2,1.0
2050,96,2,1.0
2050,97,2,1.0
2050,98,3,1.0
2050,99,3,1.0
2050,100,3,1.0
2050,101,1,1.0
2050,102,1,1.0
2050,103,2,1.0
2050,104,2,1.0
2050,105,2,1.0
2050,106,2,1.0
2050,107,2,1.0
2050,108,3,1.0
2050,109,3,1.0
2050,110,3,1.0
2050,111,1,1.0
2050,112,1,1.0
2050,113,2,1.0
2050,114,2,1.0
2050,115,2,1.0
2050,116,2,1.0
2050,117,2,1.0
2050,118,3,1.0
2050,119,3,1.0
2050,120,3,1.0
2050,121,1,1.0
2050,122,1,1.0
2050,123,2,1.0
2050,124,2,1.0
2050,125,2,1.0
2050,126,2,1.0
2050,127,2,1.0
2050,128,3,1.0
2050,129,3,1.0
2050,130,3,1.0
2050,131,1,1.0
2050,132,1,1.0
2050,133,2,1.0
2050,134,2,1.0
2050,135,2,1.0
2050,136,2,1.0
2050,137,2,1.0
2050,138,3,1.0
2050,139,3,1.0
2050,140,3,1.0
2050,141,1,1.0
2050,142,1,1.0
2050,143,2,1.0
2050,144,2,1.0
2050,145,2,1.0
2050,146,2,1.0
2050,147,2,1.0
2050,148,3,1.0
2050,149,3,1.0
2050,150,3,1.0
2050,151,1,1.0
2050,152,1,1.0
2050,153,2,1.0
2050,154,2,1.0
2050,155,2,1.0
2050,156,2,1.0
2050,157,2,1.0
2050,158,3,1.0
2050,159,3,1.0
2050,160,3,1.0
2050,161,1,1.0
2050,162,1,1.0
2050,163,2,1.0
2050,164,2,1.0
2050,165,2,1.0
2050,166,2,1.0
2050,167,2,1.0
2050,168,3,1.0
2050,169,3,1.0
2050,170,3,1.0
2050,171,1,1.0
2050,172,1,1.0
2050,173,2,1.0
2050,174,2,1.0
2050,175,2,1.0
2050,176,2,1.0
2050,177,2,1.0
2050,178,3,1.0
2050,179,3,1.0
2050,180,3,1.0
2050,181,1,1.0
2050,182,1,1.0
2050,183,2,1.0
2050,184,2,1.0
2050,185,2,1.0
2050,186,2,1.0
2050,187,2,1.0
2050,188,3,1.0
2050,189,3,1.0
2050,190,3,1.0
2050,191,1,1.0
2050,192,1,1.0
2050,193,2,1.0
2050,194,2,1.0
2050,195,2,1.0
2050,196,2,1.0
2050,197,2,1.0
2050,198,3,1.0
2050,199,3,1.0
2050,200,3,1.0
2050,201,1,1.0
2050,202,1,1.0
2050,203,2,1.0
2050,204,2,1.0
2050,205,2,1.0
2050,206,2,1.0
2050,207,2,1.0
2050,208,3,1.0
2050,209,3,1.0
2050,210,3,1.0
2050,211,1,1.0
2050,212,1,1.0
2050,213,2,1.0
2050,214,2,1.0
2050,215,2,1.0
2050,216,2,1.0
2050,217,2,1.0
2050,218,3,1.0
2050,219,3,1.0
2050,220,3,1.0
2050,221,1,1.0
2050,222,1,1.0
2050,223,2,1.0
2050,224,2,1.0
2050,225,2,1.0
2050,226,2,1.0
2050,227,2,1.0
2050,228,3,1.0
2050,229,3,1.0
2050,230,3,1.0
2050,231,1,1.0
2050,232,1,1.0
2050,233,2,1.0
2050,234,2,1.0
2050,235,2,1.0
2050,236,2,1.0
2050,237,2,1.0
2050,238,3,1.0
2050,239,3,1.0
2050,240,3,1.0
2050,241,1,1.0
2050,242,1,1.0
2050,243,2,1.0
2050,244,2,1.0
2050,245,2,1.0
2050,246,2,1.0
2050,247,2,1.0
2050,248,3,1.0
2050,249,3,1.0
2050,250,3,1.0
2050,251,1,1.0
2050,252,1,1.0
2050,253,2,1.0
2050,254,2,1.0
2050,255,2,1.0
2050,256,2,1.0
2050,257,2,1.0
2050,258,3,1.0
2050,259,3,1.0
2050,260,3,1.0
2050,261,1,1.0
2050,262,1,1.0
2050,263,2,1.0
2050,264,2,1.0
2050,265,2,1.0
2050,266,2,1.0
2050,267,2,1.0
2050,268,3,1.0
2050,269,3,1.0
2050,270,3,1.0
2050,271,1,1.0
2050,272,1,1.0
2050,273,2,1.0
2050,274,2,1.0
2050,275,2,1.0
2050,276,2,1.0
2050,277,2,1.0
2050,278,3,1.0
2050,279,3,1.0
2050,280,3,1.0
2050,281,1,1.0
2050,282,1,1.0
2050,283,2,1.0
2050,284,2,1.0
2050,285,2,1.0
2050,286,2,1.0
2050,287,2,1.0
2050,288,3,1.0
2050,289,3,1.0
2050,290,3,1.0
2050,291,1,1.0
2050,292,1,1.0
2050,293,2,1.0
2050,294,2,1.0
2050,295,2,1.0
2050,296,2,1.0
2050,297,2,1.0
2050,298,3,1.0
2050,299,3,1.0
2050,300,3,1.0
2050,301,1,1.0
2050,302,1,1.0
2050,303,2,1.0
2050,304,2,1.0
2050,305,2,1.0
2050,306,2,1.0
2050,307,2,1.0
2050,308,3,1.0
2050,309,3,1.0
2050,310,3,1.0
2050,311,1,1.0
2050,312,1,1.0
2050,313,2,1.0
2050,314,2,1.0
2050,315,2,1.0
2050,316,2,1.0
2050,317,2,1.0
2050,318,3,1.0
2050,319,3,1.0
2050,320,3,1.0
2050,321,1,1.0
2050,322,1,1.0
2050,323,2,1.0
2050,324,2,1.0
2050,325,2,1.0
2050,326,2,1.0
2050,327,2,1.0
2050,328,3,1.0
2050,329,3,1.0
2050,330,3,1.0
2050,331,1,1.0
2050,332,1,1.0
2050,333,2,1.0
2050,334,2,1.0
2050,335,2,1.0
2050,336,2,1.0
2050,337,2,1.0
2050,338,3,1.0
2050,339,3,1.0
2050,340,3,1.0
2050,341,1,1.0
2050,342,1,1.0
2050,343,2,1.0
2050,344,2,1.0
2050,345,2,1.0
2050,346,2,1.0
2050,347,2,1.0
2050,348,3,1.0
2050,349,3,1.0
2050,350,3,1.0
2050,351,1,1.0
2050,352,1,1.0
2050,353,2,1.0
2050,354,2,1.0
2050,355,2,1.0
2050,356,2,1.0
2050,357,2,1.0
2050,358,3,1.0
2050,359,3,1.0
2050,360,3,1.0
2050,361,1,1.0
2050,362,2,1.0
2050,363,2,1.0
2050,364,3,1.0
2050,365,2,0.5
2050,365,3,0.5
