name,type,capacity,technology,lat,lon
LU_E_ENS,producer,2.25117408,ENS,49.8153,6.1296
LU_Wind_Onshore,producer,0.6,Wind_Onshore,49.8153,6.1296
LU_Solar,producer,2.19,Solar,49.8153,6.1296
LU_Hydro,producer,0.043,Hydro,49.8153,6.1296
CZ_E_ENS,producer,12.3551616,ENS,49.8175,15.473
CZ_Wind_Onshore,producer,4.486,Wind_Onshore,49.8175,15.473
CZ_Solar,producer,22.485,Solar,49.8175,15.473
CZ_Hydro,producer,0.953,Hydro,49.8175,15.473
CZ_Nuclear,producer,6.983,Nuclear,49.8175,15.473
CZ_Coal,producer,0,Coal,49.8175,15.473
CZ_Gas,producer,2.613,Gas,49.8175,15.473
PL_E_ENS,producer,33.64676534,ENS,51.9194,19.1451
PL_Wind_Onshore,producer,62,Wind_Onshore,51.9194,19.1451
PL_Wind_Offshore,producer,10.9,Wind_Offshore,51.9194,19.1451
PL_Solar,producer,54.303,Solar,51.9194,19.1451
PL_Hydro,producer,0.794,Hydro,51.9194,19.1451
PL_Coal,producer,2.496,Coal,51.9194,19.1451
PL_Gas,producer,8.223,Gas,51.9194,19.1451
SE_E_ENS,producer,30.5003913,ENS,60.1282,18.6435
SE_Wind_Onshore,producer,49.1,Wind_Onshore,60.1282,18.6435
SE_Wind_Offshore,producer,14.6,Wind_Offshore,60.1282,18.6435
SE_Solar,producer,46.5,Solar,60.1282,18.6435
SE_Nuclear,producer,11.6,Nuclear,60.1282,18.6435
SE_Gas,producer,0,Gas,60.1282,18.6435
SE_OCGT,producer,0.097,Gas,60.1282,18.6435
NO_E_ENS,producer,30.10965055,ENS,60.472,8.4689
NO_Wind_Onshore,producer,6.924,Wind_Onshore,60.472,8.4689
NO_Wind_Offshore,producer,9.947,Wind_Offshore,60.472,8.4689
NO_Solar,producer,11.94,Solar,60.472,8.4689
ES_E_ENS,producer,47.84908992,ENS,40.4637,-3.7492
ES_Wind_Onshore,producer,99.549,Wind_Onshore,40.4637,-3.7492
ES_Wind_Offshore,producer,5.711,Wind_Offshore,40.4637,-3.7492
ES_Solar,producer,148.297,Solar,40.4637,-3.7492
ES_Hydro,producer,14.839,Hydro,40.4637,-3.7492
ES_Nuclear,producer,0,Nuclear,40.4637,-3.7492
ES_Gas,producer,14.92,Gas,40.4637,-3.7492
PT_E_ENS,producer,18.91067469,ENS,39.3999,-8.2245
PT_Wind_Onshore,producer,13,Wind_Onshore,39.3999,-8.2245
PT_Wind_Offshore,producer,9.978,Wind_Offshore,39.3999,-8.2245
PT_Solar,producer,29,Solar,39.3999,-8.2245
PT_Hydro,producer,4.271,Hydro,39.3999,-8.2245
PT_Gas,producer,0,Gas,39.3999,-8.2245
IT_E_ENS,producer,71.1365182,ENS,41.8719,12.5674
IT_Wind_Onshore,producer,38.21,Wind_Onshore,41.8719,12.5674
IT_Wind_Offshore,producer,18.5,Wind_Offshore,41.8719,12.5674
IT_Solar,producer,236.134,Solar,41.8719,12.5674
IT_Hydro,producer,15.846,Hydro,41.8719,12.5674
IT_Gas,producer,41.91,Gas,41.8719,12.5674
IT_OCGT,producer,4.32,Gas,41.8719,12.5674
MT_E_ENS,producer,0.6236784,ENS,35.9375,14.3754
MT_Solar,producer,0.374,Solar,35.9375,14.3754
MT_Gas,producer,0.45,Gas,35.9375,14.3754
SI_E_ENS,producer,3.1439856,ENS,46.1512,14.9955
SI_Wind_Onshore,producer,7.554,Wind_Onshore,46.1512,14.9955
SI_Wind_Offshore,producer,3.2,Wind_Offshore,46.1512,14.9955
SI_Solar,producer,35.948,Solar,46.1512,14.9955
SI_Hydro,producer,0.312,Hydro,46.1512,14.9955
SI_Nuclear,producer,1.1,Nuclear,46.1512,14.9955
SI_Coal,producer,0.575,Coal,46.1512,14.9955
SI_Gas,producer,2.282,Gas,46.1512,14.9955
SI_OCGT,producer,1.126,Gas,46.1512,14.9955
HU_E_ENS,producer,12.1348298,ENS,47.1625,19.5033
HU_Wind_Onshore,producer,3,Wind_Onshore,47.1625,19.5033
HU_Solar,producer,23.396,Solar,47.1625,19.5033
HU_Hydro,producer,0.064,Hydro,47.1625,19.5033
HU_Nuclear,producer,2.36,Nuclear,47.1625,19.5033
HU_Gas,producer,3.07,Gas,47.1625,19.5033
HU_OCGT,producer,0.154,Gas,47.1625,19.5033
SK_E_ENS,producer,6.3584868,ENS,48.669,19.699
SK_Wind_Onshore,producer,2,Wind_Onshore,48.669,19.699
SK_Solar,producer,5,Solar,48.669,19.699
SK_Hydro,producer,1.446,Hydro,48.669,19.699
SK_Nuclear,producer,3.096,Nuclear,48.669,19.699
SK_Coal,producer,0.251,Coal,48.669,19.699
SK_Gas,producer,1.341,Gas,48.669,19.699
LT_E_ENS,producer,2.8506005,ENS,55.1694,23.8813
LT_Wind_Onshore,producer,5.65,Wind_Onshore,55.1694,23.8813
LT_Wind_Offshore,producer,7.6,Wind_Offshore,55.1694,23.8813
LT_Solar,producer,7.576,Solar,55.1694,23.8813
LT_Hydro,producer,0.126,Hydro,55.1694,23.8813
LT_Gas,producer,0.293,Gas,55.1694,23.8813
LV_E_ENS,producer,2.1129151,ENS,56.8796,24.6032
LV_Wind_Onshore,producer,0.352,Wind_Onshore,56.8796,24.6032
LV_Wind_Offshore,producer,7.5,Wind_Offshore,56.8796,24.6032
LV_Solar,producer,0.605,Solar,56.8796,24.6032
LV_Hydro,producer,0,Hydro,56.8796,24.6032
LV_Gas,producer,0.073,Gas,56.8796,24.6032
EE_E_ENS,producer,2.4936576,ENS,58.5953,25.0136
EE_Wind_Onshore,producer,0.861,Wind_Onshore,58.5953,25.0136
EE_Wind_Offshore,producer,6.999,Wind_Offshore,58.5953,25.0136
EE_Solar,producer,3.52,Solar,58.5953,25.0136
FI_E_ENS,producer,20.2000318,ENS,61.9241,25.7482
FI_Wind_Onshore,producer,87.909,Wind_Onshore,61.9241,25.7482
FI_Wind_Offshore,producer,12,Wind_Offshore,61.9241,25.7482
FI_Solar,producer,47.767,Solar,61.9241,25.7482
FI_Nuclear,producer,10,Nuclear,61.9241,25.7482
FI_Gas,producer,0.234,Gas,61.9241,25.7482
FI_OCGT,producer,0.087,Gas,61.9241,25.7482
HR_E_ENS,producer,3.6952681,ENS,45.1,15.2
HR_Wind_Onshore,producer,3,Wind_Onshore,45.1,15.2
HR_Wind_Offshore,producer,2.896,Wind_Offshore,45.1,15.2
HR_Solar,producer,3.188,Solar,45.1,15.2
HR_Hydro,producer,2.011,Hydro,45.1,15.2
HR_Coal,producer,0,Coal,45.1,15.2
HR_Gas,producer,0,Gas,45.1,15.2
GR_E_ENS,producer,14.3310508,ENS,39.0742,21.8243
GR_Wind_Onshore,producer,27.5,Wind_Onshore,39.0742,21.8243
GR_Wind_Offshore,producer,17.5,Wind_Offshore,39.0742,21.8243
GR_Solar,producer,46.5,Solar,39.0742,21.8243
GR_Hydro,producer,3.522,Hydro,39.0742,21.8243
GR_Gas,producer,5.037,Gas,39.0742,21.8243
GR_OCGT,producer,0,Gas,39.0742,21.8243
BG_E_ENS,producer,6.7924289,ENS,42.7339,25.4858
BG_Wind_Onshore,producer,9,Wind_Onshore,42.7339,25.4858
BG_Solar,producer,9.11,Solar,42.7339,25.4858
BG_Hydro,producer,1.817,Hydro,42.7339,25.4858
BG_Nuclear,producer,2,Nuclear,42.7339,25.4858
BG_Coal,producer,1.004,Coal,42.7339,25.4858
BG_Gas,producer,2.315,Gas,42.7339,25.4858
BG_OCGT,producer,0.02,Gas,42.7339,25.4858
RO_E_ENS,producer,14.2691448,ENS,45.9432,24.9668
RO_Wind_Onshore,producer,9,Wind_Onshore,45.9432,24.9668
RO_Wind_Offshore,producer,1,Wind_Offshore,45.9432,24.9668
RO_Solar,producer,34.194,Solar,45.9432,24.9668
RO_Hydro,producer,5.958,Hydro,45.9432,24.9668
RO_Nuclear,producer,3.087,Nuclear,45.9432,24.9668
RO_Coal,producer,0,Coal,45.9432,24.9668
RO_Gas,producer,5.84,Gas,45.9432,24.9668
RO_OCGT,producer,0.167,Gas,45.9432,24.9668
CY_E_ENS,producer,1.269453,ENS,35.1264,33.4299
CY_Wind_Onshore,producer,0.4,Wind_Onshore,35.1264,33.4299
CY_Solar,producer,2.273,Solar,35.1264,33.4299
CY_Gas,producer,0.524,Gas,35.1264,33.4299
OBZLL_Wind_Offshore,producer,2,Wind_Offshore,53.1705,3.5288
EU_SMR_CCS,producer,1000,SMR_CCS,45.3,-3.6
