id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit
162,ocgt,2030,1,18,18,0.0
163,ocgt,2030,1,19,19,0.0
164,ocgt,2030,1,20,20,-8.029999999999998
165,ocgt,2030,1,21,21,-8.029999999999998
166,ocgt,2030,1,22,22,-8.029999999999998
167,ocgt,2030,1,23,23,-8.029999999999998
168,ocgt,2030,1,24,24,-8.029999999999998
169,ocgt,2030,2,1,1,0.0
170,ocgt,2030,2,2,2,0.0
171,ocgt,2030,2,3,3,0.0
172,ocgt,2030,2,4,4,0.0
173,ocgt,2030,2,5,5,0.0
174,ocgt,2030,2,6,6,0.0
175,ocgt,2030,2,7,7,0.0
176,ocgt,2030,2,8,8,0.0
177,ocgt,2030,2,9,9,0.0
178,ocgt,2030,2,10,10,0.0
179,ocgt,2030,2,11,11,0.0
180,ocgt,2030,2,12,12,0.0
181,ocgt,2030,2,13,13,0.0
182,ocgt,2030,2,14,14,0.0
183,ocgt,2030,2,15,15,0.0
184,ocgt,2030,2,16,16,0.0
185,ocgt,2030,2,17,17,0.0
186,ocgt,2030,2,18,18,0.0
187,ocgt,2030,2,19,19,0.0
188,ocgt,2030,2,20,20,0.0
189,ocgt,2030,2,21,21,0.0
190,ocgt,2030,2,22,22,0.0
191,ocgt,2030,2,23,23,0.0
192,ocgt,2030,2,24,24,0.0
193,ocgt,2030,3,1,1,0.0
194,ocgt,2030,3,2,2,0.0
195,ocgt,2030,3,3,3,0.0
196,ocgt,2030,3,4,4,0.0
197,ocgt,2030,3,5,5,0.0
198,ocgt,2030,3,6,6,0.0
199,ocgt,2030,3,7,7,0.0
200,ocgt,2030,3,8,8,0.0
201,ocgt,2030,3,9,9,0.0
202,ocgt,2030,3,10,10,0.0
203,ocgt,2030,3,11,11,0.0
204,ocgt,2030,3,12,12,0.0
205,ocgt,2030,3,13,13,0.0
206,ocgt,2030,3,14,14,0.0
207,ocgt,2030,3,15,15,0.0
208,ocgt,2030,3,16,16,0.0
209,ocgt,2030,3,17,17,0.0
210,ocgt,2030,3,18,18,0.0
211,ocgt,2030,3,19,19,0.0
212,ocgt,2030,3,20,20,0.0
213,ocgt,2030,3,21,21,0.0
214,ocgt,2030,3,22,22,0.0
215,ocgt,2030,3,23,23,0.0
216,ocgt,2030,3,24,24,0.0
217,solar,2030,1,1,1,-3.6500000000000004
218,solar,2030,1,2,2,-3.6500000000000004
219,solar,2030,1,3,3,-3.6500000000000004
220,solar,2030,1,4,4,-3.6500000000000004
221,solar,2030,1,5,5,-3.6500000000000004
222,solar,2030,1,6,6,-3.6500000000000004
223,solar,2030,1,7,7,-3.6500000000000004
224,solar,2030,1,8,8,-3.6500000000000004
225,solar,2030,1,9,9,-3.6500000000000004
226,solar,2030,1,10,10,-3.6500000000000004
227,solar,2030,1,11,11,-3.6500000000000004
228,solar,2030,1,12,12,-3.6500000000000004
229,solar,2030,1,13,13,-3.6500000000000004
230,solar,2030,1,14,14,-3.6500000000000004
231,solar,2030,1,15,15,-3.6500000000000004
232,solar,2030,1,16,16,-3.6500000000000004
233,solar,2030,1,17,17,-3.6500000000000004
234,solar,2030,1,18,18,-3.6500000000000004
235,solar,2030,1,19,19,-3.6500000000000004
236,solar,2030,1,20,20,-13.139999999999999
237,solar,2030,1,21,21,-13.139999999999999
238,solar,2030,1,22,22,-13.139999999999999
239,solar,2030,1,23,23,-13.139999999999999
240,solar,2030,1,24,24,-13.139999999999999
241,solar,2030,2,1,1,-9.125
242,solar,2030,2,2,2,-0.1825
243,solar,2030,2,3,3,-0.1825
244,solar,2030,2,4,4,-0.1825
245,solar,2030,2,5,5,-0.1825
246,solar,2030,2,6,6,-0.1825
247,solar,2030,2,7,7,-0.1825
248,solar,2030,2,8,8,-0.1825
249,solar,2030,2,9,9,-9.125
250,solar,2030,2,10,10,-9.125
251,solar,2030,2,11,11,-0.1825
252,solar,2030,2,12,12,-0.1825
253,solar,2030,2,13,13,-0.1825
254,solar,2030,2,14,14,-9.125
255,solar,2030,2,15,15,-9.125
256,solar,2030,2,16,16,-9.125
257,solar,2030,2,17,17,-9.125
258,solar,2030,2,18,18,-9.125
259,solar,2030,2,19,19,-9.125
260,solar,2030,2,20,20,-9.125
261,solar,2030,2,21,21,-9.125
262,solar,2030,2,22,22,-9.125
263,solar,2030,2,23,23,-9.125
264,solar,2030,2,24,24,-9.125
265,solar,2030,3,1,1,-0.1095
266,solar,2030,3,2,2,-0.1095
267,solar,2030,3,3,3,-0.1095
268,solar,2030,3,4,4,-0.1095
269,solar,2030,3,5,5,-0.1095
270,solar,2030,3,6,6,-0.1095
271,solar,2030,3,7,7,-0.1095
272,solar,2030,3,8,8,-0.1095
273,solar,2030,3,9,9,-0.1095
274,solar,2030,3,10,10,-0.1095
275,solar,2030,3,11,11,-0.1095
276,solar,2030,3,12,12,-0.1095
277,solar,2030,3,13,13,-0.1095
278,solar,2030,3,14,14,-0.1095
279,solar,2030,3,15,15,-0.1095
280,solar,2030,3,16,16,-0.1095
281,solar,2030,3,17,17,-0.1095
282,solar,2030,3,18,18,-0.1095
283,solar,2030,3,19,19,-0.1095
284,solar,2030,3,20,20,-0.1095
285,solar,2030,3,21,21,-0.1095
286,solar,2030,3,22,22,-0.1095
287,solar,2030,3,23,23,-0.1095
288,solar,2030,3,24,24,-0.1095
289,wind,2030,1,1,1,-3.5770000000000004
290,wind,2030,1,2,2,-3.5770000000000004
291,wind,2030,1,3,3,-3.5770000000000004
292,wind,2030,1,4,4,-3.5770000000000004
293,wind,2030,1,5,5,-3.5770000000000004
294,wind,2030,1,6,6,-3.5770000000000004
295,wind,2030,1,7,7,-3.5770000000000004
296,wind,2030,1,8,8,-3.5770000000000004
297,wind,2030,1,9,9,-3.5770000000000004
298,wind,2030,1,10,10,-3.5770000000000004
299,wind,2030,1,11,11,-3.5770000000000004
300,wind,2030,1,12,12,-3.5770000000000004
301,wind,2030,1,13,13,-3.5770000000000004
302,wind,2030,1,14,14,-3.5770000000000004
303,wind,2030,1,15,15,-3.5770000000000004
304,wind,2030,1,16,16,-3.5770000000000004
305,wind,2030,1,17,17,-3.5770000000000004
306,wind,2030,1,18,18,-3.5770000000000004
307,wind,2030,1,19,19,-3.5770000000000004
308,wind,2030,1,20,20,-13.066999999999998
309,wind,2030,1,21,21,-13.066999999999998
310,wind,2030,1,22,22,-13.066999999999998
311,wind,2030,1,23,23,-13.066999999999998
312,wind,2030,1,24,24,-13.066999999999998
313,wind,2030,2,1,1,-8.9425
314,wind,2030,2,2,2,0.0
315,wind,2030,2,3,3,0.0
316,wind,2030,2,4,4,0.0
317,wind,2030,2,5,5,0.0
318,wind,2030,2,6,6,0.0
319,wind,2030,2,7,7,0.0
320,wind,2030,2,8,8,0.0
321,wind,2030,2,9,9,-8.9425
322,wind,2030,2,10,10,-8.9425
323,wind,2030,2,11,11,0.0
324,wind,2030,2,12,12,0.0
325,wind,2030,2,13,13,0.0
326,wind,2030,2,14,14,-8.9425
327,wind,2030,2,15,15,-8.9425
328,wind,2030,2,16,16,-8.9425
329,wind,2030,2,17,17,-8.9425
330,wind,2030,2,18,18,-8.9425
331,wind,2030,2,19,19,-8.9425
332,wind,2030,2,20,20,-8.9425
333,wind,2030,2,21,21,-8.9425
334,wind,2030,2,22,22,-8.9425
335,wind,2030,2,23,23,-8.9425
336,wind,2030,2,24,24,-8.9425
337,wind,2030,3,1,1,0.0
338,wind,2030,3,2,2,0.0
339,wind,2030,3,3,3,0.0
340,wind,2030,3,4,4,0.0
341,wind,2030,3,5,5,0.0
342,wind,2030,3,6,6,0.0
343,wind,2030,3,7,7,0.0
344,wind,2030,3,8,8,0.0
345,wind,2030,3,9,9,0.0
346,wind,2030,3,10,10,0.0
347,wind,2030,3,11,11,0.0
348,wind,2030,3,12,12,0.0
349,wind,2030,3,13,13,0.0
350,wind,2030,3,14,14,0.0
351,wind,2030,3,15,15,0.0
352,wind,2030,3,16,16,0.0
353,wind,2030,3,17,17,0.0
354,wind,2030,3,18,18,0.0
355,wind,2030,3,19,19,0.0
356,wind,2030,3,20,20,0.0
357,wind,2030,3,21,21,0.0
358,wind,2030,3,22,22,0.0
359,wind,2030,3,23,23,0.0
360,wind,2030,3,24,24,0.0
