asset,type,group,capacity,min_operating_point,investment_method,investment_integer,technical_lifetime,economic_lifetime,discount_rate,consumer_balance_sense,capacity_storage_energy,is_seasonal,use_binary_storage_method,unit_commitment,unit_commitment_method,unit_commitment_integer,ramping,storage_method_energy,energy_to_power_ratio,investment_integer_storage_energy,max_ramp_up,max_ramp_down,start_up_cost,shut_down_cost,max_su_ramp,max_sd_ramp,minimum_up_time,minimum_down_time,start_trajectory,shut_trajectory
CCGT3,producer,,21.52,0.5,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,0.355,0.355,0.5,0.5,16,6,3,3
CCGT4,producer,,95,0.5,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,1.57,1.57,0.5,0.5,16,6,3,3
CCGT5,producer,,140,0.5,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,2.31,2.31,0.5,0.5,16,6,3,3
CCGT6,producer,,12.5,0.5,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,0.206,0.206,0.5,0.5,16,6,3,3
CCGT7,producer,,51.792,0.5,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,0.854,0.854,0.5,0.5,16,6,3,3
CCGT8,producer,,70,0.5,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,1.15,1.15,0.5,0.5,16,6,3,3
OCGT1,producer,,0.13,0.1,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,0.000273,0.000273,0.1,0.1,4,4,1,1
OCGT2,producer,,13.165,0.1,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,0.0276,0.0276,0.1,0.1,4,4,1,1
OCGT3,producer,,0.889,0.1,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,0.00186,0.00186,0.1,0.1,4,4,1,1
OCGT4,producer,,49,0.1,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,0.103,0.103,0.1,0.1,4,4,1,1
OCGT5,producer,,29,0.1,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,0.0609,0.0609,0.1,0.1,4,4,1,1
OCGT6,producer,,0.661,0.1,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,0.00139,0.00139,0.1,0.1,4,4,1,1
OCGT7,producer,,22.8,0.1,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,0.0479,0.0479,0.1,0.1,4,4,1,1
OCGT8,producer,,0.2,0.1,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,0.000420,0.000420,0.1,0.1,4,4,1,1
Nuclear1,producer,,1250,0.5,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,0.750,0.750,21.9,21.9,0.5,0.5,96,192,96,96
Nuclear2,producer,,920,0.5,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,0.750,0.750,16.1,16.1,0.5,0.5,96,192,96,96
Nuclear3,producer,,440,0.5,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,0.750,0.750,7.72,7.72,0.5,0.5,96,192,96,96
Nuclear4,producer,,1650,0.5,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,0.750,0.750,28.9,28.9,0.5,0.5,96,192,96,96
OnWind,producer,,50,,simple,true,15,15,0.05,==,0.0,false,,false,,false,false,false,0.0,false,,,,,,,,,,
OffWind,producer,,50,,simple,true,15,15,0.05,==,0.0,false,,false,,false,false,false,0.0,false,,,,,,,,,,
Solar,producer,,20,,simple,true,15,15,0.05,==,0.0,false,,false,,false,false,false,0.0,false,,,,,,,,,,
demand,consumer,,0.0,0.0,none,false,15,15,0.05,==,0.0,false,,false,,false,false,false,0.0,false,,,,,,,,,,
ens,producer,,100000,1.0,none,false,15,15,0.05,==,0.0,false,,false,,false,false,false,0.0,false,,,,,,,,,,
