index,asset,year,rep_period,time_block_start,time_block_end
246,solar,2030,2,6,6
247,solar,2030,2,7,7
248,solar,2030,2,8,8
249,solar,2030,2,9,9
250,solar,2030,2,10,10
251,solar,2030,2,11,11
252,solar,2030,2,12,12
253,solar,2030,2,13,13
254,solar,2030,2,14,14
255,solar,2030,2,15,15
256,solar,2030,2,16,16
257,solar,2030,2,17,17
258,solar,2030,2,18,18
259,solar,2030,2,19,19
260,solar,2030,2,20,20
261,solar,2030,2,21,21
262,solar,2030,2,22,22
263,solar,2030,2,23,23
264,solar,2030,2,24,24
265,solar,2030,3,1,1
266,solar,2030,3,2,2
267,solar,2030,3,3,3
268,solar,2030,3,4,4
269,solar,2030,3,5,5
270,solar,2030,3,6,6
271,solar,2030,3,7,7
272,solar,2030,3,8,8
273,solar,2030,3,9,9
274,solar,2030,3,10,10
275,solar,2030,3,11,11
276,solar,2030,3,12,12
277,solar,2030,3,13,13
278,solar,2030,3,14,14
279,solar,2030,3,15,15
280,solar,2030,3,16,16
281,solar,2030,3,17,17
282,solar,2030,3,18,18
283,solar,2030,3,19,19
284,solar,2030,3,20,20
285,solar,2030,3,21,21
286,solar,2030,3,22,22
287,solar,2030,3,23,23
288,solar,2030,3,24,24
289,wind,2030,1,1,1
290,wind,2030,1,2,2
291,wind,2030,1,3,3
292,wind,2030,1,4,4
293,wind,2030,1,5,5
294,wind,2030,1,6,6
295,wind,2030,1,7,7
296,wind,2030,1,8,8
297,wind,2030,1,9,9
298,wind,2030,1,10,10
299,wind,2030,1,11,11
300,wind,2030,1,12,12
301,wind,2030,1,13,13
302,wind,2030,1,14,14
303,wind,2030,1,15,15
304,wind,2030,1,16,16
305,wind,2030,1,17,17
306,wind,2030,1,18,18
307,wind,2030,1,19,19
308,wind,2030,1,20,20
309,wind,2030,1,21,21
310,wind,2030,1,22,22
311,wind,2030,1,23,23
312,wind,2030,1,24,24
313,wind,2030,2,1,1
314,wind,2030,2,2,2
315,wind,2030,2,3,3
316,wind,2030,2,4,4
317,wind,2030,2,5,5
318,wind,2030,2,6,6
319,wind,2030,2,7,7
320,wind,2030,2,8,8
321,wind,2030,2,9,9
322,wind,2030,2,10,10
323,wind,2030,2,11,11
324,wind,2030,2,12,12
325,wind,2030,2,13,13
326,wind,2030,2,14,14
327,wind,2030,2,15,15
328,wind,2030,2,16,16
329,wind,2030,2,17,17
330,wind,2030,2,18,18
331,wind,2030,2,19,19
332,wind,2030,2,20,20
333,wind,2030,2,21,21
334,wind,2030,2,22,22
335,wind,2030,2,23,23
336,wind,2030,2,24,24
337,wind,2030,3,1,1
338,wind,2030,3,2,2
339,wind,2030,3,3,3
340,wind,2030,3,4,4
341,wind,2030,3,5,5
342,wind,2030,3,6,6
343,wind,2030,3,7,7
344,wind,2030,3,8,8
345,wind,2030,3,9,9
346,wind,2030,3,10,10
347,wind,2030,3,11,11
348,wind,2030,3,12,12
349,wind,2030,3,13,13
350,wind,2030,3,14,14
351,wind,2030,3,15,15
352,wind,2030,3,16,16
353,wind,2030,3,17,17
354,wind,2030,3,18,18
355,wind,2030,3,19,19
356,wind,2030,3,20,20
357,wind,2030,3,21,21
358,wind,2030,3,22,22
359,wind,2030,3,23,23
360,wind,2030,3,24,24
