from_asset,to_asset,milestone_year,variable_cost,efficiency
FR_Hydro,FR_E_Demand,2050,0,1
FR_Hydro_Reservoir,FR_E_Demand,2050,0,1
FR_Nuclear,FR_E_Demand,2050,11.5,1
FR_E_Demand,FR_Pump_Hydro_Closed,2050,0,0.875
FR_Pump_Hydro_Closed,FR_E_Demand,2050,0,0.875
FR_E_Demand,FR_Pump_Hydro_Open,2050,0,0.875
FR_Pump_Hydro_Open,FR_E_Demand,2050,0,0.875
FR_Gas,FR_E_Demand,2050,79.858571,1
FR_OCGT,FR_E_Demand,2050,109.93,1
DK_E_ENS,DK_E_Demand,2050,1000,1
DK_Wind_Onshore,DK_E_Demand,2050,0,1
DK_Wind_Offshore,DK_E_Demand,2050,0,1
DK_Solar,DK_E_Demand,2050,0,1
DK_Gas,DK_E_Demand,2050,79.858571,1
DK_OCGT,DK_E_Demand,2050,109.93,1
UK_E_ENS,UK_E_Demand,2050,1000,1
UK_Wind_Onshore,UK_E_Demand,2050,0,1
UK_Wind_Offshore,UK_E_Demand,2050,0,1
UK_Solar,UK_E_Demand,2050,0,1
UK_Hydro,UK_E_Demand,2050,0,1
UK_Nuclear,UK_E_Demand,2050,11.5,1
UK_E_Demand,UK_Battery,2050,0,0.955
UK_Battery,UK_E_Demand,2050,0,0.955
UK_E_Demand,UK_Pump_Hydro_Closed,2050,0,0.875
UK_Pump_Hydro_Closed,UK_E_Demand,2050,0,0.875
UK_Gas,UK_E_Demand,2050,79.858571,1
UK_OCGT,UK_E_Demand,2050,109.93,1
IE_E_ENS,IE_E_Demand,2050,1000,1
IE_Wind_Onshore,IE_E_Demand,2050,0,1
IE_Wind_Offshore,IE_E_Demand,2050,0,1
IE_Solar,IE_E_Demand,2050,0,1
IE_Hydro,IE_E_Demand,2050,0,1
IE_E_Demand,IE_Battery,2050,0,0.955
IE_Battery,IE_E_Demand,2050,0,0.955
IE_E_Demand,IE_Pump_Hydro_Closed,2050,0,0.875
IE_Pump_Hydro_Closed,IE_E_Demand,2050,0,0.875
IE_Gas,IE_E_Demand,2050,79.858571,1
IE_OCGT,IE_E_Demand,2050,109.93,1
CH_E_ENS,CH_E_Demand,2050,1000,1
CH_Wind_Onshore,CH_E_Demand,2050,0,1
CH_Solar,CH_E_Demand,2050,0,1
CH_Hydro,CH_E_Demand,2050,0,1
CH_Nuclear,CH_E_Demand,2050,11.5,1
CH_E_Demand,CH_Battery,2050,0,0.955
CH_Battery,CH_E_Demand,2050,0,0.955
CH_E_Demand,CH_Pump_Hydro_Closed,2050,0,0.875
CH_Pump_Hydro_Closed,CH_E_Demand,2050,0,0.875
CH_E_Demand,CH_Pump_Hydro_Open,2050,0,0.875
CH_Pump_Hydro_Open,CH_E_Demand,2050,0,0.875
AT_E_ENS,AT_E_Demand,2050,1000,1
AT_Wind_Onshore,AT_E_Demand,2050,0,1
AT_Solar,AT_E_Demand,2050,0,1
AT_Hydro,AT_E_Demand,2050,0,1
AT_Hydro_Reservoir,AT_E_Demand,2050,0,1
AT_E_Demand,AT_Battery,2050,0,0.955
AT_Battery,AT_E_Demand,2050,0,0.955
AT_E_Demand,AT_Pump_Hydro_Closed,2050,0,0.875
AT_Pump_Hydro_Closed,AT_E_Demand,2050,0,0.875
AT_E_Demand,AT_Pump_Hydro_Open,2050,0,0.875
AT_Pump_Hydro_Open,AT_E_Demand,2050,0,0.875
AT_Gas,AT_E_Demand,2050,79.858571,1
LU_E_ENS,LU_E_Demand,2050,1000,1
LU_Wind_Onshore,LU_E_Demand,2050,0,1
LU_Solar,LU_E_Demand,2050,0,1
LU_Hydro,LU_E_Demand,2050,0,1
LU_E_Demand,LU_Pump_Hydro_Closed,2050,0,0.875
LU_Pump_Hydro_Closed,LU_E_Demand,2050,0,0.875
CZ_E_ENS,CZ_E_Demand,2050,1000,1
CZ_Wind_Onshore,CZ_E_Demand,2050,0,1
CZ_Solar,CZ_E_Demand,2050,0,1
CZ_Hydro,CZ_E_Demand,2050,0,1
CZ_Hydro_Reservoir,CZ_E_Demand,2050,0,1
CZ_Nuclear,CZ_E_Demand,2050,11.5,1
CZ_E_Demand,CZ_Battery,2050,0,0.955
CZ_Battery,CZ_E_Demand,2050,0,0.955
CZ_E_Demand,CZ_Pump_Hydro_Closed,2050,0,0.875
CZ_Pump_Hydro_Closed,CZ_E_Demand,2050,0,0.875
CZ_E_Demand,CZ_Pump_Hydro_Open,2050,0,0.875
CZ_Pump_Hydro_Open,CZ_E_Demand,2050,0,0.875
CZ_Coal,CZ_E_Demand,2050,51.035102,1
CZ_Gas,CZ_E_Demand,2050,79.858571,1
PL_E_ENS,PL_E_Demand,2050,1000,1
PL_Wind_Onshore,PL_E_Demand,2050,0,1
PL_Wind_Offshore,PL_E_Demand,2050,0,1
PL_Solar,PL_E_Demand,2050,0,1
PL_Hydro,PL_E_Demand,2050,0,1
PL_Hydro_Reservoir,PL_E_Demand,2050,0,1
PL_E_Demand,PL_Pump_Hydro_Closed,2050,0,0.875
PL_Pump_Hydro_Closed,PL_E_Demand,2050,0,0.875
PL_E_Demand,PL_Pump_Hydro_Open,2050,0,0.875
PL_Pump_Hydro_Open,PL_E_Demand,2050,0,0.875
PL_Coal,PL_E_Demand,2050,51.035102,1
PL_Gas,PL_E_Demand,2050,79.858571,1
SE_E_ENS,SE_E_Demand,2050,1000,1
SE_Wind_Onshore,SE_E_Demand,2050,0,1
SE_Wind_Offshore,SE_E_Demand,2050,0,1
SE_Solar,SE_E_Demand,2050,0,1
SE_Hydro_Reservoir,SE_E_Demand,2050,0,1
SE_Nuclear,SE_E_Demand,2050,11.5,1
SE_E_Demand,SE_Battery,2050,0,0.955
SE_Battery,SE_E_Demand,2050,0,0.955
SE_Gas,SE_E_Demand,2050,79.858571,1
SE_OCGT,SE_E_Demand,2050,109.93,1
NO_E_ENS,NO_E_Demand,2050,1000,1
NO_Wind_Onshore,NO_E_Demand,2050,0,1
NO_Wind_Offshore,NO_E_Demand,2050,0,1
NO_Solar,NO_E_Demand,2050,0,1
NO_E_Demand,NO_Pump_Hydro_Open,2050,0,0.875
NO_Pump_Hydro_Open,NO_E_Demand,2050,0,0.875
NO_Hydro_Reservoir,NO_E_Demand,2050,0,1
ES_E_ENS,ES_E_Demand,2050,1000,1
ES_Wind_Onshore,ES_E_Demand,2050,0,1
ES_Wind_Offshore,ES_E_Demand,2050,0,1
ES_Solar,ES_E_Demand,2050,0,1
ES_Hydro,ES_E_Demand,2050,0,1
ES_Hydro_Reservoir,ES_E_Demand,2050,0,1
ES_Nuclear,ES_E_Demand,2050,11.5,1
ES_E_Demand,ES_Battery,2050,0,0.955
ES_Battery,ES_E_Demand,2050,0,0.955
ES_E_Demand,ES_Pump_Hydro_Closed,2050,0,0.875
ES_Pump_Hydro_Closed,ES_E_Demand,2050,0,0.875
ES_E_Demand,ES_Pump_Hydro_Open,2050,0,0.875
ES_Pump_Hydro_Open,ES_E_Demand,2050,0,0.875
ES_Gas,ES_E_Demand,2050,79.858571,1
PT_E_ENS,PT_E_Demand,2050,1000,1
PT_Wind_Onshore,PT_E_Demand,2050,0,1
PT_Wind_Offshore,PT_E_Demand,2050,0,1
PT_Solar,PT_E_Demand,2050,0,1
PT_Hydro,PT_E_Demand,2050,0,1
PT_Hydro_Reservoir,PT_E_Demand,2050,0,1
PT_E_Demand,PT_Pump_Hydro_Open,2050,0,0.875
PT_Pump_Hydro_Open,PT_E_Demand,2050,0,0.875
PT_Gas,PT_E_Demand,2050,79.858571,1
IT_E_ENS,IT_E_Demand,2050,1000,1
IT_Wind_Onshore,IT_E_Demand,2050,0,1
IT_Wind_Offshore,IT_E_Demand,2050,0,1
IT_Solar,IT_E_Demand,2050,0,1
IT_Hydro,IT_E_Demand,2050,0,1
IT_Hydro_Reservoir,IT_E_Demand,2050,0,1
IT_E_Demand,IT_Battery,2050,0,0.955
IT_Battery,IT_E_Demand,2050,0,0.955
IT_E_Demand,IT_Pump_Hydro_Closed,2050,0,0.875
IT_Pump_Hydro_Closed,IT_E_Demand,2050,0,0.875
IT_E_Demand,IT_Pump_Hydro_Open,2050,0,0.875
IT_Pump_Hydro_Open,IT_E_Demand,2050,0,0.875
IT_Gas,IT_E_Demand,2050,79.858571,1
IT_OCGT,IT_E_Demand,2050,109.93,1
MT_E_ENS,MT_E_Demand,2050,1000,1
MT_Solar,MT_E_Demand,2050,0,1
MT_Gas,MT_E_Demand,2050,79.858571,1
SI_E_ENS,SI_E_Demand,2050,1000,1
SI_Wind_Onshore,SI_E_Demand,2050,0,1
SI_Wind_Offshore,SI_E_Demand,2050,0,1
SI_Solar,SI_E_Demand,2050,0,1
SI_Hydro,SI_E_Demand,2050,0,1
SI_Nuclear,SI_E_Demand,2050,11.5,1
SI_E_Demand,SI_Battery,2050,0,0.955
SI_Battery,SI_E_Demand,2050,0,0.955
SI_E_Demand,SI_Pump_Hydro_Closed,2050,0,0.875
SI_Pump_Hydro_Closed,SI_E_Demand,2050,0,0.875
SI_Coal,SI_E_Demand,2050,51.035102,1
SI_Gas,SI_E_Demand,2050,79.858571,1
SI_OCGT,SI_E_Demand,2050,109.93,1
HU_E_ENS,HU_E_Demand,2050,1000,1
HU_Wind_Onshore,HU_E_Demand,2050,0,1
HU_Solar,HU_E_Demand,2050,0,1
HU_Hydro,HU_E_Demand,2050,0,1
HU_Nuclear,HU_E_Demand,2050,11.5,1
HU_E_Demand,HU_Battery,2050,0,0.955
HU_Battery,HU_E_Demand,2050,0,0.955
HU_Gas,HU_E_Demand,2050,79.858571,1
HU_OCGT,HU_E_Demand,2050,109.93,1
SK_E_ENS,SK_E_Demand,2050,1000,1
SK_Wind_Onshore,SK_E_Demand,2050,0,1
SK_Solar,SK_E_Demand,2050,0,1
SK_Hydro,SK_E_Demand,2050,0,1
SK_Hydro_Reservoir,SK_E_Demand,2050,0,1
SK_Nuclear,SK_E_Demand,2050,11.5,1
SK_E_Demand,SK_Pump_Hydro_Closed,2050,0,0.875
SK_Pump_Hydro_Closed,SK_E_Demand,2050,0,0.875
SK_E_Demand,SK_Pump_Hydro_Open,2050,0,0.875
SK_Pump_Hydro_Open,SK_E_Demand,2050,0,0.875
SK_Coal,SK_E_Demand,2050,51.035102,1
SK_Gas,SK_E_Demand,2050,79.858571,1
LT_E_ENS,LT_E_Demand,2050,1000,1
LT_Wind_Onshore,LT_E_Demand,2050,0,1
LT_Wind_Offshore,LT_E_Demand,2050,0,1
LT_Solar,LT_E_Demand,2050,0,1
LT_Hydro,LT_E_Demand,2050,0,1
LT_E_Demand,LT_Battery,2050,0,0.955
LT_Battery,LT_E_Demand,2050,0,0.955
LT_E_Demand,LT_Pump_Hydro_Closed,2050,0,0.875
LT_Pump_Hydro_Closed,LT_E_Demand,2050,0,0.875
LT_Gas,LT_E_Demand,2050,79.858571,1
LV_E_ENS,LV_E_Demand,2050,1000,1
LV_Wind_Onshore,LV_E_Demand,2050,0,1
LV_Wind_Offshore,LV_E_Demand,2050,0,1
LV_Solar,LV_E_Demand,2050,0,1
LV_Hydro,LV_E_Demand,2050,0,1
LV_Gas,LV_E_Demand,2050,79.858571,1
EE_E_ENS,EE_E_Demand,2050,1000,1
EE_Wind_Onshore,EE_E_Demand,2050,0,1
EE_Wind_Offshore,EE_E_Demand,2050,0,1
EE_Solar,EE_E_Demand,2050,0,1
FI_E_ENS,FI_E_Demand,2050,1000,1
FI_Wind_Onshore,FI_E_Demand,2050,0,1
FI_Wind_Offshore,FI_E_Demand,2050,0,1
FI_Solar,FI_E_Demand,2050,0,1
FI_Hydro_Reservoir,FI_E_Demand,2050,0,1
FI_Nuclear,FI_E_Demand,2050,11.5,1
FI_E_Demand,FI_Battery,2050,0,0.955
FI_Battery,FI_E_Demand,2050,0,0.955
FI_Gas,FI_E_Demand,2050,79.858571,1
FI_OCGT,FI_E_Demand,2050,109.93,1
HR_E_ENS,HR_E_Demand,2050,1000,1
HR_Wind_Onshore,HR_E_Demand,2050,0,1
HR_Wind_Offshore,HR_E_Demand,2050,0,1
HR_Solar,HR_E_Demand,2050,0,1
HR_Hydro,HR_E_Demand,2050,0,1
HR_Hydro_Reservoir,HR_E_Demand,2050,0,1
HR_E_Demand,HR_Battery,2050,0,0.955
HR_Battery,HR_E_Demand,2050,0,0.955
HR_E_Demand,HR_Pump_Hydro_Open,2050,0,0.875
HR_Pump_Hydro_Open,HR_E_Demand,2050,0,0.875
HR_Coal,HR_E_Demand,2050,51.035102,1
HR_Gas,HR_E_Demand,2050,79.858571,1
GR_E_ENS,GR_E_Demand,2050,1000,1
GR_Wind_Onshore,GR_E_Demand,2050,0,1
GR_Wind_Offshore,GR_E_Demand,2050,0,1
GR_Solar,GR_E_Demand,2050,0,1
GR_Hydro,GR_E_Demand,2050,0,1
GR_Hydro_Reservoir,GR_E_Demand,2050,0,1
GR_E_Demand,GR_Battery,2050,0,0.955
GR_Battery,GR_E_Demand,2050,0,0.955
GR_E_Demand,GR_Pump_Hydro_Closed,2050,0,0.875
GR_Pump_Hydro_Closed,GR_E_Demand,2050,0,0.875
GR_E_Demand,GR_Pump_Hydro_Open,2050,0,0.875
GR_Pump_Hydro_Open,GR_E_Demand,2050,0,0.875
GR_Gas,GR_E_Demand,2050,79.858571,1
GR_OCGT,GR_E_Demand,2050,109.93,1
BG_E_ENS,BG_E_Demand,2050,1000,1
BG_Wind_Onshore,BG_E_Demand,2050,0,1
BG_Solar,BG_E_Demand,2050,0,1
BG_Hydro,BG_E_Demand,2050,0,1
BG_Hydro_Reservoir,BG_E_Demand,2050,0,1
BG_Nuclear,BG_E_Demand,2050,11.5,1
BG_E_Demand,BG_Pump_Hydro_Closed,2050,0,0.875
BG_Pump_Hydro_Closed,BG_E_Demand,2050,0,0.875
BG_E_Demand,BG_Pump_Hydro_Open,2050,0,0.875
BG_Pump_Hydro_Open,BG_E_Demand,2050,0,0.875
BG_Coal,BG_E_Demand,2050,51.035102,1
BG_Gas,BG_E_Demand,2050,79.858571,1
BG_OCGT,BG_E_Demand,2050,109.93,1
RO_E_ENS,RO_E_Demand,2050,1000,1
RO_Wind_Onshore,RO_E_Demand,2050,0,1
RO_Wind_Offshore,RO_E_Demand,2050,0,1
RO_Solar,RO_E_Demand,2050,0,1
RO_Hydro,RO_E_Demand,2050,0,1
RO_Hydro_Reservoir,RO_E_Demand,2050,0,1
RO_Nuclear,RO_E_Demand,2050,11.5,1
RO_E_Demand,RO_Battery,2050,0,0.955
RO_Battery,RO_E_Demand,2050,0,0.955
RO_E_Demand,RO_Pump_Hydro_Open,2050,0,0.875
RO_Pump_Hydro_Open,RO_E_Demand,2050,0,0.875
RO_Coal,RO_E_Demand,2050,51.035102,1
RO_Gas,RO_E_Demand,2050,79.858571,1
RO_OCGT,RO_E_Demand,2050,109.93,1
CY_E_ENS,CY_E_Demand,2050,1000,1
CY_Wind_Onshore,CY_E_Demand,2050,0,1
CY_Solar,CY_E_Demand,2050,0,1
CY_E_Demand,CY_Battery,2050,0,0.955
CY_Battery,CY_E_Demand,2050,0,0.955
CY_Gas,CY_E_Demand,2050,79.858571,1
DK_Battery,DK_E_Demand,2050,0,0.955
BG_Battery,BG_E_Demand,2050,0,0.955
FR_Battery,FR_E_Demand,2050,0,0.955
LV_Battery,LV_E_Demand,2050,0,0.955
PT_Battery,PT_E_Demand,2050,0,0.955
SK_Battery,SK_E_Demand,2050,0,0.955
OBZLL_Wind_Offshore,OBZLL_E_Demand,2050,0,1
NL_E_Demand,NL_electrolyzer,2050,0,1
NL_electrolyzer,NL_H_Demand,2050,0,0.65
EU_SMR_CCS,NL_H_Demand,2050,50,1
BE_E_Demand,BE_electrolyzer,2050,0,1
BE_electrolyzer,BE_H_Demand,2050,0,0.65
EU_SMR_CCS,BE_H_Demand,2050,50,1
DE_E_Demand,DE_electrolyzer,2050,0,1
DE_electrolyzer,DE_H_Demand,2050,0,0.65
EU_SMR_CCS,DE_H_Demand,2050,50,1
FR_E_Demand,FR_electrolyzer,2050,0,1
FR_electrolyzer,FR_H_Demand,2050,0,0.65
EU_SMR_CCS,FR_H_Demand,2050,50,1
DK_E_Demand,DK_electrolyzer,2050,0,1
DK_electrolyzer,DK_H_Demand,2050,0,0.65
EU_SMR_CCS,DK_H_Demand,2050,50,1
UK_E_Demand,UK_electrolyzer,2050,0,1
UK_electrolyzer,UK_H_Demand,2050,0,0.65
EU_SMR_CCS,UK_H_Demand,2050,50,1
IE_E_Demand,IE_electrolyzer,2050,0,1
IE_electrolyzer,IE_H_Demand,2050,0,0.65
EU_SMR_CCS,IE_H_Demand,2050,50,1
CH_E_Demand,CH_electrolyzer,2050,0,1
CH_electrolyzer,CH_H_Demand,2050,0,0.65
EU_SMR_CCS,CH_H_Demand,2050,50,1
AT_E_Demand,AT_electrolyzer,2050,0,1
AT_electrolyzer,AT_H_Demand,2050,0,0.65
EU_SMR_CCS,AT_H_Demand,2050,50,1
LU_E_Demand,LU_electrolyzer,2050,0,1
LU_electrolyzer,LU_H_Demand,2050,0,0.65
EU_SMR_CCS,LU_H_Demand,2050,50,1
CZ_E_Demand,CZ_electrolyzer,2050,0,1
CZ_electrolyzer,CZ_H_Demand,2050,0,0.65
EU_SMR_CCS,CZ_H_Demand,2050,50,1
PL_E_Demand,PL_electrolyzer,2050,0,1
PL_electrolyzer,PL_H_Demand,2050,0,0.65
EU_SMR_CCS,PL_H_Demand,2050,50,1
SE_E_Demand,SE_electrolyzer,2050,0,1
SE_electrolyzer,SE_H_Demand,2050,0,0.65
EU_SMR_CCS,SE_H_Demand,2050,50,1
NO_E_Demand,NO_electrolyzer,2050,0,1
NO_electrolyzer,NO_H_Demand,2050,0,0.65
EU_SMR_CCS,NO_H_Demand,2050,50,1
ES_E_Demand,ES_electrolyzer,2050,0,1
ES_electrolyzer,ES_H_Demand,2050,0,0.65
EU_SMR_CCS,ES_H_Demand,2050,50,1
PT_E_Demand,PT_electrolyzer,2050,0,1
PT_electrolyzer,PT_H_Demand,2050,0,0.65
EU_SMR_CCS,PT_H_Demand,2050,50,1
IT_E_Demand,IT_electrolyzer,2050,0,1
IT_electrolyzer,IT_H_Demand,2050,0,0.65
EU_SMR_CCS,IT_H_Demand,2050,50,1
MT_E_Demand,MT_electrolyzer,2050,0,1
MT_electrolyzer,MT_H_Demand,2050,0,0.65
EU_SMR_CCS,MT_H_Demand,2050,50,1
SI_E_Demand,SI_electrolyzer,2050,0,1
SI_electrolyzer,SI_H_Demand,2050,0,0.65
EU_SMR_CCS,SI_H_Demand,2050,50,1
HU_E_Demand,HU_electrolyzer,2050,0,1
HU_electrolyzer,HU_H_Demand,2050,0,0.65
EU_SMR_CCS,HU_H_Demand,2050,50,1
SK_E_Demand,SK_electrolyzer,2050,0,1
SK_electrolyzer,SK_H_Demand,2050,0,0.65
EU_SMR_CCS,SK_H_Demand,2050,50,1
LT_E_Demand,LT_electrolyzer,2050,0,1
LT_electrolyzer,LT_H_Demand,2050,0,0.65
EU_SMR_CCS,LT_H_Demand,2050,50,1
LV_E_Demand,LV_electrolyzer,2050,0,1
LV_electrolyzer,LV_H_Demand,2050,0,0.65
EU_SMR_CCS,LV_H_Demand,2050,50,1
EE_E_Demand,EE_electrolyzer,2050,0,1
EE_electrolyzer,EE_H_Demand,2050,0,0.65
EU_SMR_CCS,EE_H_Demand,2050,50,1
FI_E_Demand,FI_electrolyzer,2050,0,1
FI_electrolyzer,FI_H_Demand,2050,0,0.65
EU_SMR_CCS,FI_H_Demand,2050,50,1
HR_E_Demand,HR_electrolyzer,2050,0,1
HR_electrolyzer,HR_H_Demand,2050,0,0.65
EU_SMR_CCS,HR_H_Demand,2050,50,1
GR_E_Demand,GR_electrolyzer,2050,0,1
GR_electrolyzer,GR_H_Demand,2050,0,0.65
EU_SMR_CCS,GR_H_Demand,2050,50,1
BG_E_Demand,BG_electrolyzer,2050,0,1
BG_electrolyzer,BG_H_Demand,2050,0,0.65
EU_SMR_CCS,BG_H_Demand,2050,50,1
RO_E_Demand,RO_electrolyzer,2050,0,1
RO_electrolyzer,RO_H_Demand,2050,0,0.65
EU_SMR_CCS,RO_H_Demand,2050,50,1
CY_E_Demand,CY_electrolyzer,2050,0,1
CY_electrolyzer,CY_H_Demand,2050,0,0.65
EU_SMR_CCS,CY_H_Demand,2050,50,1
OBZLL_E_Demand,OBZLL_electrolyzer,2050,0,1
OBZLL_electrolyzer,OBZLL_H_Demand,2050,0,0.65
EU_SMR_CCS,OBZLL_H_Demand,2050,50,1
