id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
55,battery,2030,3,7,7,-1197.1918376359974,-478.876735054399,0.0
56,battery,2030,3,8,8,-1676.0685726903964,-2007.5986200357495,0.0
57,battery,2030,3,9,9,-3683.667192726146,-626.2234227634453,0.0
58,battery,2030,3,10,10,-4309.890615489591,0.0,0.0
59,battery,2030,3,11,11,-4309.890615489591,0.0,0.0
60,battery,2030,3,12,12,-4309.890615489591,0.0,0.0
61,battery,2030,3,13,13,-4309.890615489591,0.0,0.0
62,battery,2030,3,14,14,-4309.890615489591,0.0,0.0
63,battery,2030,3,15,15,-4309.890615489591,0.0,0.0
64,battery,2030,3,16,16,-4309.890615489591,0.0,0.0
65,battery,2030,3,17,17,-4309.890615489591,0.0,0.0
66,battery,2030,3,18,18,-4309.890615489591,0.0,0.0
67,battery,2030,3,19,19,-4309.890615489591,0.0,0.0
68,battery,2030,3,20,20,-4309.890615489591,0.0,0.0
69,battery,2030,3,21,21,-4309.890615489591,0.0,0.0
70,battery,2030,3,22,22,-4309.890615489591,0.0,0.0
71,battery,2030,3,23,23,-4309.890615489591,0.0,0.0
72,battery,2030,3,24,24,-4309.890615489591,0.0,0.0
73,battery,2030,4,1,1,-3675.3058012940082,0.0,0.0
74,battery,2030,4,2,2,-3675.3058012940082,0.0,0.0
75,battery,2030,4,3,3,-3675.3058012940082,0.0,0.0
76,battery,2030,4,4,4,-3675.3058012940082,0.0,0.0
77,battery,2030,4,5,5,-3675.3058012940082,0.0,0.0
78,battery,2030,4,6,6,-3675.3058012940082,0.0,0.0
79,battery,2030,4,7,7,-3675.3058012940082,0.0,0.0
80,battery,2030,4,8,8,-3675.3058012940082,0.0,0.0
81,battery,2030,4,9,9,-3675.3058012940082,0.0,0.0
82,battery,2030,4,10,10,-3675.3058012940082,0.0,0.0
83,battery,2030,4,11,11,-3675.3058012940082,0.0,0.0
84,battery,2030,4,12,12,-3675.3058012940082,0.0,0.0
85,battery,2030,4,13,13,-1429.2855893921144,0.0,0.0
86,battery,2030,4,14,14,-1429.2855893921144,0.0,0.0
87,battery,2030,4,15,15,-1429.2855893921144,-1712.0014202608843,0.0
88,battery,2030,4,16,16,-3141.2870096529987,-534.0187916410096,0.0
89,battery,2030,4,17,17,-3675.3058012940082,0.0,0.0
90,battery,2030,4,18,18,-1429.2855893921144,0.0,0.0
91,battery,2030,4,19,19,-1020.9182781372245,0.0,0.0
92,battery,2030,4,20,20,-1020.9182781372245,0.0,0.0
93,battery,2030,4,21,21,-1020.9182781372245,0.0,0.0
94,battery,2030,4,22,22,-1020.9182781372245,0.0,0.0
95,battery,2030,4,23,23,-1020.9182781372245,0.0,0.0
96,battery,2030,4,24,24,-1020.9182781372245,-2654.3875231567836,0.0
97,battery,2030,5,1,1,-1859.9949911601484,0.0,0.0
98,battery,2030,5,2,2,-1859.9949911601484,0.0,0.0
99,battery,2030,5,3,3,-1859.9949911601484,0.0,0.0
100,battery,2030,5,4,4,-1859.9949911601484,0.0,0.0
101,battery,2030,5,5,5,-1859.9949911601484,0.0,0.0
102,battery,2030,5,6,6,-1859.9949911601484,0.0,0.0
103,battery,2030,5,7,7,-1859.9949911601484,0.0,0.0
104,battery,2030,5,8,8,-1859.9949911601484,0.0,0.0
105,battery,2030,5,9,9,-1859.9949911601484,0.0,0.0
106,battery,2030,5,10,10,-1859.9949911601484,0.0,0.0
107,battery,2030,5,11,11,-1859.9949911601484,0.0,0.0
108,battery,2030,5,12,12,-1859.9949911601484,0.0,0.0
109,battery,2030,5,13,13,-1859.9949911601484,0.0,0.0
110,battery,2030,5,14,14,-1859.9949911601484,0.0,0.0
111,battery,2030,5,15,15,-1859.9949911601484,0.0,0.0
112,battery,2030,5,16,16,-1859.9949911601484,0.0,0.0
113,battery,2030,5,17,17,-1859.9949911601484,0.0,0.0
114,battery,2030,5,18,18,-1859.9949911601484,0.0,0.0
115,battery,2030,5,19,19,-1859.9949911601484,0.0,0.0
116,battery,2030,5,20,20,-1859.9949911601484,0.0,0.0
117,battery,2030,5,21,21,-1859.9949911601484,0.0,0.0
118,battery,2030,5,22,22,-1859.9949911601484,0.0,0.0
119,battery,2030,5,23,23,-1859.9949911601484,0.0,0.0
120,battery,2030,5,24,24,-1859.9949911601484,0.0,0.0
121,battery,2030,6,1,1,-890.294756740474,0.0,0.0
122,battery,2030,6,2,2,-890.294756740474,0.0,0.0
123,battery,2030,6,3,3,-890.294756740474,0.0,0.0
124,battery,2030,6,4,4,-890.294756740474,0.0,0.0
125,battery,2030,6,5,5,-890.294756740474,0.0,0.0
126,battery,2030,6,6,6,-890.294756740474,0.0,0.0
127,battery,2030,6,7,7,-890.294756740474,0.0,0.0
128,battery,2030,6,8,8,-890.294756740474,0.0,0.0
129,battery,2030,6,9,9,-890.294756740474,0.0,0.0
130,battery,2030,6,10,10,-890.294756740474,0.0,0.0
131,battery,2030,6,11,11,-890.294756740474,0.0,0.0
132,battery,2030,6,12,12,-890.294756740474,0.0,0.0
133,battery,2030,6,13,13,-890.294756740474,0.0,0.0
134,battery,2030,6,14,14,-890.294756740474,0.0,0.0
135,battery,2030,6,15,15,-890.294756740474,0.0,0.0
136,battery,2030,6,16,16,-890.294756740474,0.0,0.0
137,battery,2030,6,17,17,-890.294756740474,0.0,0.0
138,battery,2030,6,18,18,-890.294756740474,0.0,0.0
139,battery,2030,6,19,19,-890.294756740474,-356.1179026961895,0.0
140,battery,2030,6,20,20,-1246.4126594366635,0.0,0.0
141,battery,2030,6,21,21,-1246.4126594366635,0.0,0.0
142,battery,2030,6,22,22,-1246.4126594366635,0.0,0.0
143,battery,2030,6,23,23,-890.294756740474,0.0,0.0
144,battery,2030,6,24,24,-890.294756740474,0.0,0.0
145,battery,2030,7,1,1,-2067.907200094992,0.0,0.0
146,battery,2030,7,2,2,-2067.907200094992,0.0,0.0
147,battery,2030,7,3,3,-2067.907200094992,0.0,0.0
148,battery,2030,7,4,4,-2067.907200094992,0.0,0.0
149,battery,2030,7,5,5,-2067.907200094992,0.0,0.0
150,battery,2030,7,6,6,-2067.907200094992,0.0,0.0
151,battery,2030,7,7,7,-2067.907200094992,0.0,0.0
152,battery,2030,7,8,8,-2067.907200094992,0.0,0.0
153,battery,2030,7,9,9,-2067.907200094992,0.0,0.0
154,battery,2030,7,10,10,-2067.907200094992,0.0,0.0
155,battery,2030,7,11,11,-2067.907200094992,0.0,0.0
156,battery,2030,7,12,12,-2067.907200094992,0.0,0.0
157,battery,2030,7,13,13,-2067.907200094992,0.0,0.0
158,battery,2030,7,14,14,-2067.907200094992,0.0,0.0
159,battery,2030,7,15,15,-2067.907200094992,-827.1628800379967,0.0
160,battery,2030,7,16,16,-2895.0700801329886,0.0,0.0
161,battery,2030,7,17,17,-2895.0700801329886,-4549.395840208982,0.0
162,battery,2030,7,18,18,-7444.465920341971,0.0,0.0
163,battery,2030,7,19,19,-7444.465920341971,0.0,0.0
164,battery,2030,7,20,20,-6362.791384907667,0.0,0.0
165,battery,2030,7,21,21,-2895.0700801329886,0.0,0.0
166,battery,2030,7,22,22,-2067.907200094992,0.0,0.0
167,battery,2030,7,23,23,-2067.907200094992,0.0,0.0
168,battery,2030,7,24,24,-2067.907200094992,0.0,0.0
169,battery,2030,8,1,1,-1513.832538526981,0.0,0.0
170,battery,2030,8,2,2,-1513.832538526981,0.0,0.0
171,battery,2030,8,3,3,-1513.832538526981,0.0,0.0
172,battery,2030,8,4,4,-1513.832538526981,-605.5330154107924,0.0
173,battery,2030,8,5,5,-2119.3655539377733,0.0,0.0
174,battery,2030,8,6,6,-2119.3655539377733,-2538.5807184529376,0.0
175,battery,2030,8,7,7,-4657.946272390711,0.0,0.0
176,battery,2030,8,8,8,-4657.946272390711,0.0,0.0
177,battery,2030,8,9,9,-2119.3655539377733,0.0,0.0
178,battery,2030,8,10,10,-1513.832538526981,0.0,0.0
179,battery,2030,8,11,11,-1513.832538526981,0.0,0.0
180,battery,2030,8,12,12,-1513.832538526981,0.0,0.0
181,battery,2030,8,13,13,-1513.832538526981,0.0,0.0
182,battery,2030,8,14,14,-1513.832538526981,0.0,0.0
183,battery,2030,8,15,15,-1513.832538526981,-605.5330154107924,0.0
184,battery,2030,8,16,16,-2119.3655539377733,0.0,0.0
185,battery,2030,8,17,17,-2119.3655539377733,0.0,0.0
186,battery,2030,8,18,18,-1513.832538526981,0.0,0.0
187,battery,2030,8,19,19,-1513.832538526981,0.0,0.0
188,battery,2030,8,20,20,-1513.832538526981,0.0,0.0
189,battery,2030,8,21,21,-1513.832538526981,0.0,0.0
190,battery,2030,8,22,22,-1513.832538526981,0.0,0.0
191,battery,2030,8,23,23,-1513.832538526981,0.0,0.0
192,battery,2030,8,24,24,-1513.832538526981,0.0,0.0
193,battery,2030,9,1,1,-1341.3800684397233,0.0,0.0
194,battery,2030,9,2,2,-1341.3800684397233,0.0,0.0
195,battery,2030,9,3,3,-1341.3800684397233,0.0,0.0
196,battery,2030,9,4,4,-1341.3800684397233,0.0,0.0
197,battery,2030,9,5,5,-1341.3800684397233,0.0,0.0
198,battery,2030,9,6,6,-1341.3800684397233,0.0,0.0
199,battery,2030,9,7,7,-1341.3800684397233,0.0,0.0
200,battery,2030,9,8,8,-1341.3800684397233,0.0,0.0
201,battery,2030,9,9,9,-1341.3800684397233,0.0,0.0
202,battery,2030,9,10,10,-1341.3800684397233,0.0,0.0
203,battery,2030,9,11,11,-1341.3800684397233,0.0,0.0
204,battery,2030,9,12,12,-1341.3800684397233,0.0,0.0
205,battery,2030,9,13,13,-1341.3800684397233,0.0,0.0
206,battery,2030,9,14,14,-1341.3800684397233,0.0,0.0
207,battery,2030,9,15,15,-1341.3800684397233,0.0,0.0
208,battery,2030,9,16,16,-1341.3800684397233,0.0,0.0
209,battery,2030,9,17,17,-1341.3800684397233,0.0,0.0
210,battery,2030,9,18,18,-1341.3800684397233,0.0,0.0
211,battery,2030,9,19,19,-1341.3800684397233,0.0,0.0
212,battery,2030,9,20,20,-1341.3800684397233,0.0,0.0
213,battery,2030,9,21,21,-1341.3800684397233,0.0,0.0
214,battery,2030,9,22,22,-1341.3800684397233,0.0,0.0
215,battery,2030,9,23,23,-1341.3800684397233,0.0,0.0
216,battery,2030,9,24,24,-1341.3800684397233,0.0,0.0
217,battery,2030,10,1,1,-1211.3755260782411,0.0,0.0
218,battery,2030,10,2,2,-1211.3755260782411,0.0,0.0
219,battery,2030,10,3,3,-1211.3755260782411,0.0,0.0
220,battery,2030,10,4,4,-1211.3755260782411,0.0,0.0
221,battery,2030,10,5,5,-1211.3755260782411,0.0,0.0
222,battery,2030,10,6,6,-1211.3755260782411,0.0,0.0
223,battery,2030,10,7,7,-1211.3755260782411,0.0,0.0
224,battery,2030,10,8,8,-1211.3755260782411,0.0,0.0
225,battery,2030,10,9,9,-1211.3755260782411,0.0,0.0
226,battery,2030,10,10,10,-1211.3755260782411,0.0,0.0
227,battery,2030,10,11,11,-1211.3755260782411,0.0,0.0
228,battery,2030,10,12,12,-1211.3755260782411,0.0,0.0
229,battery,2030,10,13,13,-1211.3755260782411,0.0,0.0
230,battery,2030,10,14,14,-1211.3755260782411,0.0,0.0
231,battery,2030,10,15,15,-1211.3755260782411,0.0,0.0
232,battery,2030,10,16,16,-1211.3755260782411,0.0,0.0
233,battery,2030,10,17,17,-1211.3755260782411,0.0,0.0
234,battery,2030,10,18,18,-1211.3755260782411,0.0,0.0
235,battery,2030,10,19,19,-1211.3755260782411,0.0,0.0
236,battery,2030,10,20,20,-1211.3755260782411,0.0,0.0
237,battery,2030,10,21,21,-1211.3755260782411,0.0,0.0
238,battery,2030,10,22,22,-1211.3755260782411,0.0,0.0
239,battery,2030,10,23,23,-1211.3755260782411,0.0,0.0
240,battery,2030,10,24,24,-1211.3755260782411,0.0,0.0
241,h2_storage,2030,1,1,1,-3084.093712455787,0.0,0.0
242,h2_storage,2030,1,2,2,-3084.093712455787,0.0,0.0
243,h2_storage,2030,1,3,3,-3084.093712455787,0.0,0.0
244,h2_storage,2030,1,4,4,-3084.093712455787,0.0,0.0
245,h2_storage,2030,1,5,5,-3084.093712455787,0.0,0.0
246,h2_storage,2030,1,6,6,-3084.093712455787,0.0,0.0
247,h2_storage,2030,1,7,7,-3084.093712455787,0.0,0.0
248,h2_storage,2030,1,8,8,-3084.093712455787,0.0,0.0
249,h2_storage,2030,1,9,9,-3084.093712455787,0.0,0.0
250,h2_storage,2030,1,10,10,-3084.093712455787,0.0,0.0
251,h2_storage,2030,1,11,11,-3084.093712455787,0.0,0.0
252,h2_storage,2030,1,12,12,-3084.093712455787,0.0,0.0
253,h2_storage,2030,1,13,13,-3084.093712455787,0.0,0.0
254,h2_storage,2030,1,14,14,-3084.093712455787,0.0,0.0
255,h2_storage,2030,1,15,15,-3084.093712455787,0.0,0.0
256,h2_storage,2030,1,16,16,-3084.093712455787,0.0,0.0
257,h2_storage,2030,1,17,17,-3084.093712455787,0.0,0.0
258,h2_storage,2030,1,18,18,-3084.093712455787,0.0,0.0
259,h2_storage,2030,1,19,19,-3084.093712455787,0.0,0.0
260,h2_storage,2030,1,20,20,-3084.093712455787,0.0,0.0
261,h2_storage,2030,1,21,21,-3084.093712455787,0.0,0.0
262,h2_storage,2030,1,22,22,-3084.093712455787,0.0,0.0
263,h2_storage,2030,1,23,23,-3084.093712455787,0.0,0.0
264,h2_storage,2030,1,24,24,-3084.093712455787,0.0,0.0
265,h2_storage,2030,2,1,1,-11210.115893916643,0.0,0.0
266,h2_storage,2030,2,2,2,-11210.115893916643,0.0,0.0
267,h2_storage,2030,2,3,3,-11210.115893916643,0.0,0.0
268,h2_storage,2030,2,4,4,-11210.115893916643,0.0,0.0
269,h2_storage,2030,2,5,5,-11210.115893916643,0.0,0.0
270,h2_storage,2030,2,6,6,-11210.115893916643,0.0,0.0
271,h2_storage,2030,2,7,7,-11210.115893916643,0.0,0.0
272,h2_storage,2030,2,8,8,-11210.115893916643,0.0,0.0
273,h2_storage,2030,2,9,9,-11210.115893916643,0.0,0.0
274,h2_storage,2030,2,10,10,-11210.115893916643,0.0,0.0
275,h2_storage,2030,2,11,11,-11210.115893916643,0.0,0.0
276,h2_storage,2030,2,12,12,-11210.115893916643,0.0,0.0
277,h2_storage,2030,2,13,13,-11210.115893916643,0.0,0.0
278,h2_storage,2030,2,14,14,-11210.115893916643,0.0,0.0
279,h2_storage,2030,2,15,15,-11210.115893916643,0.0,0.0
280,h2_storage,2030,2,16,16,-11210.115893916643,0.0,0.0
281,h2_storage,2030,2,17,17,-11210.115893916643,0.0,0.0
282,h2_storage,2030,2,18,18,-11210.115893916643,0.0,0.0
283,h2_storage,2030,2,19,19,-11210.115893916643,0.0,0.0
284,h2_storage,2030,2,20,20,-11210.115893916643,0.0,0.0
285,h2_storage,2030,2,21,21,-11210.115893916643,0.0,0.0
286,h2_storage,2030,2,22,22,-11210.115893916643,0.0,0.0
287,h2_storage,2030,2,23,23,-11210.115893916643,0.0,0.0
288,h2_storage,2030,2,24,24,-11210.115893916643,0.0,0.0
289,h2_storage,2030,3,1,1,-2394.383675271995,0.0,0.0
290,h2_storage,2030,3,2,2,-2394.383675271995,0.0,0.0
291,h2_storage,2030,3,3,3,-2394.383675271995,0.0,0.0
292,h2_storage,2030,3,4,4,-2394.383675271995,0.0,0.0
293,h2_storage,2030,3,5,5,-2394.383675271995,0.0,0.0
294,h2_storage,2030,3,6,6,-2394.383675271995,0.0,0.0
295,h2_storage,2030,3,7,7,-2394.383675271995,0.0,0.0
296,h2_storage,2030,3,8,8,-2394.383675271995,0.0,0.0
297,h2_storage,2030,3,9,9,-2394.383675271995,0.0,0.0
298,h2_storage,2030,3,10,10,-2394.383675271995,0.0,0.0
299,h2_storage,2030,3,11,11,-2394.383675271995,0.0,0.0
300,h2_storage,2030,3,12,12,-2394.383675271995,0.0,0.0
301,h2_storage,2030,3,13,13,-2394.383675271995,0.0,0.0
302,h2_storage,2030,3,14,14,-2394.383675271995,0.0,0.0
303,h2_storage,2030,3,15,15,-2394.383675271995,0.0,0.0
304,h2_storage,2030,3,16,16,-2394.383675271995,0.0,0.0
305,h2_storage,2030,3,17,17,-2394.383675271995,0.0,0.0
306,h2_storage,2030,3,18,18,-2394.383675271995,0.0,0.0
307,h2_storage,2030,3,19,19,-2394.383675271995,0.0,0.0
308,h2_storage,2030,3,20,20,-2394.383675271995,0.0,0.0
309,h2_storage,2030,3,21,21,-2394.383675271995,0.0,0.0
310,h2_storage,2030,3,22,22,-2394.383675271995,0.0,0.0
311,h2_storage,2030,3,23,23,-2394.383675271995,0.0,0.0
312,h2_storage,2030,3,24,24,-2394.383675271995,0.0,0.0
313,h2_storage,2030,4,1,1,-2041.836556274449,0.0,0.0
314,h2_storage,2030,4,2,2,-2041.836556274449,0.0,0.0
315,h2_storage,2030,4,3,3,-2041.836556274449,0.0,0.0
316,h2_storage,2030,4,4,4,-2041.836556274449,0.0,0.0
317,h2_storage,2030,4,5,5,-2041.836556274449,0.0,0.0
318,h2_storage,2030,4,6,6,-2041.836556274449,0.0,0.0
319,h2_storage,2030,4,7,7,-2041.836556274449,0.0,0.0
320,h2_storage,2030,4,8,8,-2041.836556274449,0.0,0.0
321,h2_storage,2030,4,9,9,-2041.836556274449,0.0,0.0
322,h2_storage,2030,4,10,10,-2041.836556274449,0.0,0.0
323,h2_storage,2030,4,11,11,-2041.836556274449,0.0,0.0
324,h2_storage,2030,4,12,12,-2041.836556274449,0.0,0.0
325,h2_storage,2030,4,13,13,-2041.836556274449,0.0,0.0
326,h2_storage,2030,4,14,14,-2041.836556274449,0.0,0.0
327,h2_storage,2030,4,15,15,-2041.836556274449,0.0,0.0
328,h2_storage,2030,4,16,16,-2041.836556274449,0.0,0.0
329,h2_storage,2030,4,17,17,-2041.836556274449,0.0,0.0
330,h2_storage,2030,4,18,18,-2041.836556274449,0.0,0.0
331,h2_storage,2030,4,19,19,-2041.836556274449,0.0,0.0
332,h2_storage,2030,4,20,20,-2041.836556274449,0.0,0.0
333,h2_storage,2030,4,21,21,-2041.836556274449,0.0,0.0
334,h2_storage,2030,4,22,22,-2041.836556274449,0.0,0.0
335,h2_storage,2030,4,23,23,-2041.836556274449,0.0,0.0
336,h2_storage,2030,4,24,24,-2041.836556274449,0.0,0.0
337,h2_storage,2030,5,1,1,-3719.989982320297,0.0,0.0
338,h2_storage,2030,5,2,2,-3719.989982320297,0.0,0.0
339,h2_storage,2030,5,3,3,-3719.989982320297,0.0,0.0
340,h2_storage,2030,5,4,4,-3719.989982320297,0.0,0.0
341,h2_storage,2030,5,5,5,-3719.989982320297,0.0,0.0
342,h2_storage,2030,5,6,6,-3719.989982320297,0.0,0.0
343,h2_storage,2030,5,7,7,-3719.989982320297,0.0,0.0
344,h2_storage,2030,5,8,8,-3719.989982320297,0.0,0.0
345,h2_storage,2030,5,9,9,-3719.989982320297,0.0,0.0
346,h2_storage,2030,5,10,10,-3719.989982320297,0.0,0.0
347,h2_storage,2030,5,11,11,-3719.989982320297,0.0,0.0
348,h2_storage,2030,5,12,12,-3719.989982320297,0.0,0.0
349,h2_storage,2030,5,13,13,-3719.989982320297,0.0,0.0
350,h2_storage,2030,5,14,14,-3719.989982320297,0.0,0.0
351,h2_storage,2030,5,15,15,-3719.989982320297,0.0,0.0
352,h2_storage,2030,5,16,16,-3719.989982320297,0.0,0.0
353,h2_storage,2030,5,17,17,-3719.989982320297,0.0,0.0
354,h2_storage,2030,5,18,18,-3719.989982320297,0.0,0.0
355,h2_storage,2030,5,19,19,-3719.989982320297,0.0,0.0
356,h2_storage,2030,5,20,20,-3719.989982320297,0.0,0.0
357,h2_storage,2030,5,21,21,-3719.989982320297,0.0,0.0
358,h2_storage,2030,5,22,22,-3719.989982320297,0.0,0.0
359,h2_storage,2030,5,23,23,-3719.989982320297,0.0,0.0
360,h2_storage,2030,5,24,24,-3719.989982320297,0.0,0.0
361,h2_storage,2030,6,1,1,-1780.589513480948,0.0,0.0
362,h2_storage,2030,6,2,2,-1780.589513480948,0.0,0.0
363,h2_storage,2030,6,3,3,-1780.589513480948,0.0,0.0
364,h2_storage,2030,6,4,4,-1780.589513480948,0.0,0.0
365,h2_storage,2030,6,5,5,-1780.589513480948,0.0,0.0
366,h2_storage,2030,6,6,6,-1780.589513480948,0.0,0.0
367,h2_storage,2030,6,7,7,-1780.589513480948,0.0,0.0
368,h2_storage,2030,6,8,8,-1780.589513480948,0.0,0.0
369,h2_storage,2030,6,9,9,-1780.589513480948,0.0,0.0
370,h2_storage,2030,6,10,10,-1780.589513480948,0.0,0.0
371,h2_storage,2030,6,11,11,-1780.589513480948,0.0,0.0
372,h2_storage,2030,6,12,12,-1780.589513480948,0.0,0.0
373,h2_storage,2030,6,13,13,-1780.589513480948,0.0,0.0
374,h2_storage,2030,6,14,14,-1780.589513480948,0.0,0.0
375,h2_storage,2030,6,15,15,-1780.589513480948,0.0,0.0
376,h2_storage,2030,6,16,16,-1780.589513480948,0.0,0.0
377,h2_storage,2030,6,17,17,-1780.589513480948,0.0,0.0
378,h2_storage,2030,6,18,18,-1780.589513480948,0.0,0.0
379,h2_storage,2030,6,19,19,-1780.589513480948,0.0,0.0
380,h2_storage,2030,6,20,20,-1780.589513480948,0.0,0.0
381,h2_storage,2030,6,21,21,-1780.589513480948,0.0,0.0
382,h2_storage,2030,6,22,22,-1780.589513480948,0.0,0.0
383,h2_storage,2030,6,23,23,-1780.589513480948,0.0,0.0
384,h2_storage,2030,6,24,24,-1780.589513480948,0.0,0.0
385,h2_storage,2030,7,1,1,-4135.814400189984,0.0,0.0
386,h2_storage,2030,7,2,2,-4135.814400189984,0.0,0.0
387,h2_storage,2030,7,3,3,-4135.814400189984,0.0,0.0
388,h2_storage,2030,7,4,4,-4135.814400189984,0.0,0.0
389,h2_storage,2030,7,5,5,-4135.814400189984,0.0,0.0
390,h2_storage,2030,7,6,6,-4135.814400189984,0.0,0.0
391,h2_storage,2030,7,7,7,-4135.814400189984,0.0,0.0
392,h2_storage,2030,7,8,8,-4135.814400189984,0.0,0.0
393,h2_storage,2030,7,9,9,-4135.814400189984,0.0,0.0
394,h2_storage,2030,7,10,10,-4135.814400189984,0.0,0.0
395,h2_storage,2030,7,11,11,-4135.814400189984,0.0,0.0
396,h2_storage,2030,7,12,12,-4135.814400189984,0.0,0.0
397,h2_storage,2030,7,13,13,-4135.814400189984,0.0,0.0
398,h2_storage,2030,7,14,14,-4135.814400189984,0.0,0.0
399,h2_storage,2030,7,15,15,-4135.814400189984,0.0,0.0
400,h2_storage,2030,7,16,16,-4135.814400189984,0.0,0.0
401,h2_storage,2030,7,17,17,-4135.814400189984,0.0,0.0
402,h2_storage,2030,7,18,18,-4135.814400189984,0.0,0.0
403,h2_storage,2030,7,19,19,-4135.814400189984,0.0,0.0
404,h2_storage,2030,7,20,20,-4135.814400189984,0.0,0.0
405,h2_storage,2030,7,21,21,-4135.814400189984,0.0,0.0
406,h2_storage,2030,7,22,22,-4135.814400189984,0.0,0.0
407,h2_storage,2030,7,23,23,-4135.814400189984,0.0,0.0
408,h2_storage,2030,7,24,24,-4135.814400189984,0.0,0.0
409,h2_storage,2030,8,1,1,-3027.665077053962,0.0,0.0
410,h2_storage,2030,8,2,2,-3027.665077053962,0.0,0.0
411,h2_storage,2030,8,3,3,-3027.665077053962,0.0,0.0
412,h2_storage,2030,8,4,4,-3027.665077053962,0.0,0.0
413,h2_storage,2030,8,5,5,-3027.665077053962,0.0,0.0
414,h2_storage,2030,8,6,6,-3027.665077053962,0.0,0.0
415,h2_storage,2030,8,7,7,-3027.665077053962,0.0,0.0
416,h2_storage,2030,8,8,8,-3027.665077053962,0.0,0.0
417,h2_storage,2030,8,9,9,-3027.665077053962,0.0,0.0
418,h2_storage,2030,8,10,10,-3027.665077053962,0.0,0.0
419,h2_storage,2030,8,11,11,-3027.665077053962,0.0,0.0
420,h2_storage,2030,8,12,12,-3027.665077053962,0.0,0.0
421,h2_storage,2030,8,13,13,-3027.665077053962,0.0,0.0
422,h2_storage,2030,8,14,14,-3027.665077053962,0.0,0.0
