id,asset,year,period_block_start,period_block_end,dual_balance_storage_over_clustered_year,dual_max_storage_level_over_clustered_year_limit,dual_min_storage_level_over_clustered_year_limit
147,h2_storage,2030,147,147,-0.0,0.0,0.0
148,h2_storage,2030,148,148,-0.0,0.0,0.0
149,h2_storage,2030,149,149,-0.0,0.0,0.0
150,h2_storage,2030,150,150,-0.0,0.0,0.0
151,h2_storage,2030,151,151,-0.0,0.0,0.0
152,h2_storage,2030,152,152,-0.0,-9.804507075648756,0.0
153,h2_storage,2030,153,153,-9.804507075648756,-1.9155932980899255,0.0
154,h2_storage,2030,154,154,-11.720100373738681,0.0,0.0
155,h2_storage,2030,155,155,-0.0,0.0,0.0
156,h2_storage,2030,156,156,-0.0,0.0,0.0
157,h2_storage,2030,157,157,-0.0,0.0,0.0
158,h2_storage,2030,158,158,-0.0,0.0,0.0
159,h2_storage,2030,159,159,-0.0,0.0,0.0
160,h2_storage,2030,160,160,-0.0,0.0,0.0
161,h2_storage,2030,161,161,-0.0,0.0,0.0
162,h2_storage,2030,162,162,-0.0,0.0,0.0
163,h2_storage,2030,163,163,-0.0,0.0,0.0
164,h2_storage,2030,164,164,-0.0,0.0,0.0
165,h2_storage,2030,165,165,-0.0,0.0,0.0
166,h2_storage,2030,166,166,-0.0,0.0,0.0
167,h2_storage,2030,167,167,-0.0,0.0,0.0
168,h2_storage,2030,168,168,-0.0,0.0,0.0
169,h2_storage,2030,169,169,-0.0,0.0,0.0
170,h2_storage,2030,170,170,-0.0,0.0,0.0
171,h2_storage,2030,171,171,-0.0,0.0,0.0
172,h2_storage,2030,172,172,-0.0,0.0,0.0
173,h2_storage,2030,173,173,-0.0,0.0,0.0
174,h2_storage,2030,174,174,-0.0,0.0,0.0
175,h2_storage,2030,175,175,-0.0,0.0,0.0
176,h2_storage,2030,176,176,-0.0,0.0,0.0
177,h2_storage,2030,177,177,-0.0,0.0,0.0
178,h2_storage,2030,178,178,-0.0,0.0,0.0
179,h2_storage,2030,179,179,-0.0,0.0,0.0
180,h2_storage,2030,180,180,-0.0,0.0,0.0
181,h2_storage,2030,181,181,-0.0,0.0,0.0
182,h2_storage,2030,182,182,-0.0,0.0,0.0
183,h2_storage,2030,183,183,-0.0,0.0,0.0
184,h2_storage,2030,184,184,-0.0,0.0,0.0
185,h2_storage,2030,185,185,-0.0,0.0,0.0
186,h2_storage,2030,186,186,-0.0,0.0,0.0
187,h2_storage,2030,187,187,-0.0,0.0,0.0
188,h2_storage,2030,188,188,-0.0,0.0,0.0
189,h2_storage,2030,189,189,-0.0,0.0,0.0
190,h2_storage,2030,190,190,-0.0,0.0,0.0
191,h2_storage,2030,191,191,-0.0,0.0,0.0
192,h2_storage,2030,192,192,-0.0,0.0,0.0
193,h2_storage,2030,193,193,-0.0,0.0,0.0
194,h2_storage,2030,194,194,-0.0,0.0,0.0
195,h2_storage,2030,195,195,-0.0,0.0,0.0
196,h2_storage,2030,196,196,-0.0,0.0,0.0
197,h2_storage,2030,197,197,-0.0,0.0,0.0
198,h2_storage,2030,198,198,-0.0,0.0,0.0
199,h2_storage,2030,199,199,-0.0,0.0,0.0
200,h2_storage,2030,200,200,-0.0,0.0,0.0
201,h2_storage,2030,201,201,-0.0,0.0,0.0
202,h2_storage,2030,202,202,-0.0,0.0,0.0
203,h2_storage,2030,203,203,-0.0,0.0,0.0
204,h2_storage,2030,204,204,-0.0,0.0,0.0
205,h2_storage,2030,205,205,-0.0,0.0,0.0
206,h2_storage,2030,206,206,-0.0,0.0,0.0
207,h2_storage,2030,207,207,-0.0,0.0,0.0
208,h2_storage,2030,208,208,-0.0,0.0,0.0
209,h2_storage,2030,209,209,-0.0,0.0,0.0
210,h2_storage,2030,210,210,-0.0,0.0,0.0
211,h2_storage,2030,211,211,-0.0,0.0,0.0
212,h2_storage,2030,212,212,-0.0,0.0,0.0
213,h2_storage,2030,213,213,-0.0,0.0,0.0
214,h2_storage,2030,214,214,-0.0,0.0,0.0
215,h2_storage,2030,215,215,-0.0,0.0,0.0
216,h2_storage,2030,216,216,-0.0,0.0,0.0
217,h2_storage,2030,217,217,7.483882162750913,-7.483882162750913,0.0
218,h2_storage,2030,218,218,-0.0,0.0,0.0
219,h2_storage,2030,219,219,-0.0,0.0,0.0
220,h2_storage,2030,220,220,-0.0,0.0,0.0
221,h2_storage,2030,221,221,-0.0,0.0,0.0
222,h2_storage,2030,222,222,-0.0,0.0,0.0
223,h2_storage,2030,223,223,-0.0,0.0,0.0
224,h2_storage,2030,224,224,1690.6463729434695,-1690.6463729434695,0.0
225,h2_storage,2030,225,225,-0.0,0.0,0.0
226,h2_storage,2030,226,226,-0.0,0.0,0.0
227,h2_storage,2030,227,227,-0.0,0.0,0.0
228,h2_storage,2030,228,228,133.37647793644717,-133.37647793644717,0.0
229,h2_storage,2030,229,229,-0.0,0.0,0.0
230,h2_storage,2030,230,230,-0.0,0.0,0.0
231,h2_storage,2030,231,231,-0.0,0.0,0.0
232,h2_storage,2030,232,232,-0.0,0.0,0.0
233,h2_storage,2030,233,233,-0.0,0.0,0.0
234,h2_storage,2030,234,234,-0.0,0.0,0.0
235,h2_storage,2030,235,235,-0.0,-1.1153868370033517,0.0
236,h2_storage,2030,236,236,-1.1153868370033517,0.0,0.0
237,h2_storage,2030,237,237,-0.0,0.0,0.0
238,h2_storage,2030,238,238,-0.0,0.0,0.0
239,h2_storage,2030,239,239,-0.0,0.0,0.0
240,h2_storage,2030,240,240,-0.0,0.0,0.0
241,h2_storage,2030,241,241,-0.0,0.0,0.0
242,h2_storage,2030,242,242,-0.0,0.0,0.0
243,h2_storage,2030,243,243,-0.0,0.0,0.0
244,h2_storage,2030,244,244,-0.0,0.0,0.0
245,h2_storage,2030,245,245,-0.0,0.0,0.0
246,h2_storage,2030,246,246,-0.0,0.0,0.0
247,h2_storage,2030,247,247,-0.0,0.0,0.0
248,h2_storage,2030,248,248,-0.0,0.0,0.0
249,h2_storage,2030,249,249,-0.0,0.0,0.0
250,h2_storage,2030,250,250,-0.0,0.0,0.0
251,h2_storage,2030,251,251,-0.0,0.0,0.0
252,h2_storage,2030,252,252,-0.0,0.0,0.0
253,h2_storage,2030,253,253,-0.0,0.0,0.0
254,h2_storage,2030,254,254,-0.0,0.0,0.0
255,h2_storage,2030,255,255,-0.0,0.0,0.0
256,h2_storage,2030,256,256,-0.0,0.0,0.0
257,h2_storage,2030,257,257,-0.0,0.0,0.0
258,h2_storage,2030,258,258,-0.0,0.0,0.0
259,h2_storage,2030,259,259,-0.0,0.0,0.0
260,h2_storage,2030,260,260,-0.0,0.0,0.0
261,h2_storage,2030,261,261,-0.0,0.0,0.0
262,h2_storage,2030,262,262,-0.0,0.0,0.0
263,h2_storage,2030,263,263,-0.0,0.0,0.0
264,h2_storage,2030,264,264,-0.0,0.0,0.0
265,h2_storage,2030,265,265,-0.0,0.0,0.0
266,h2_storage,2030,266,266,-0.0,0.0,0.0
267,h2_storage,2030,267,267,-0.0,0.0,0.0
268,h2_storage,2030,268,268,-0.0,0.0,0.0
269,h2_storage,2030,269,269,-0.0,0.0,0.0
270,h2_storage,2030,270,270,-0.0,0.0,0.0
271,h2_storage,2030,271,271,-0.0,-1592.323094737648,0.0
272,h2_storage,2030,272,272,-1592.323094737648,0.0,0.0
273,h2_storage,2030,273,273,-0.0,0.0,0.0
274,h2_storage,2030,274,274,-0.0,0.0,0.0
275,h2_storage,2030,275,275,-0.0,0.0,0.0
276,h2_storage,2030,276,276,-0.0,0.0,0.0
277,h2_storage,2030,277,277,-0.0,0.0,0.0
278,h2_storage,2030,278,278,-0.0,-53.57436408302251,0.0
279,h2_storage,2030,279,279,-53.57436408302251,0.0,0.0
280,h2_storage,2030,280,280,-0.0,0.0,0.0
281,h2_storage,2030,281,281,-0.0,0.0,0.0
282,h2_storage,2030,282,282,-0.0,0.0,0.0
283,h2_storage,2030,283,283,-0.0,0.0,0.0
284,h2_storage,2030,284,284,-0.0,0.0,0.0
285,h2_storage,2030,285,285,-0.0,0.0,0.0
286,h2_storage,2030,286,286,-0.0,0.0,0.0
287,h2_storage,2030,287,287,-0.0,0.0,0.0
288,h2_storage,2030,288,288,-0.0,0.0,0.0
289,h2_storage,2030,289,289,-0.0,0.0,0.0
290,h2_storage,2030,290,290,-0.0,0.0,0.0
291,h2_storage,2030,291,291,-0.0,0.0,0.0
292,h2_storage,2030,292,292,-0.0,0.0,0.0
293,h2_storage,2030,293,293,-0.0,0.0,0.0
294,h2_storage,2030,294,294,-0.0,0.0,0.0
295,h2_storage,2030,295,295,-0.0,0.0,0.0
296,h2_storage,2030,296,296,-0.0,0.0,0.0
297,h2_storage,2030,297,297,-0.0,0.0,0.0
298,h2_storage,2030,298,298,-0.0,0.0,0.0
299,h2_storage,2030,299,299,-0.0,0.0,0.0
300,h2_storage,2030,300,300,-0.0,0.0,0.0
301,h2_storage,2030,301,301,-0.0,0.0,0.0
302,h2_storage,2030,302,302,-0.0,0.0,0.0
303,h2_storage,2030,303,303,-0.0,0.0,0.0
304,h2_storage,2030,304,304,-0.0,0.0,0.0
305,h2_storage,2030,305,305,-0.0,0.0,0.0
306,h2_storage,2030,306,306,-0.0,0.0,0.0
307,h2_storage,2030,307,307,-0.0,0.0,0.0
308,h2_storage,2030,308,308,-0.0,0.0,0.0
309,h2_storage,2030,309,309,-0.0,0.0,0.0
310,h2_storage,2030,310,310,-0.0,0.0,0.0
311,h2_storage,2030,311,311,-0.0,0.0,0.0
312,h2_storage,2030,312,312,-0.0,0.0,0.0
313,h2_storage,2030,313,313,-0.0,0.0,0.0
314,h2_storage,2030,314,314,-0.0,0.0,0.0
315,h2_storage,2030,315,315,-0.0,0.0,0.0
316,h2_storage,2030,316,316,-0.0,0.0,0.0
317,h2_storage,2030,317,317,-0.0,0.0,0.0
318,h2_storage,2030,318,318,-0.0,0.0,0.0
319,h2_storage,2030,319,319,-0.0,0.0,0.0
320,h2_storage,2030,320,320,-0.0,0.0,0.0
321,h2_storage,2030,321,321,-0.0,0.0,0.0
322,h2_storage,2030,322,322,-0.0,0.0,0.0
323,h2_storage,2030,323,323,-0.0,0.0,0.0
324,h2_storage,2030,324,324,-0.0,0.0,0.0
325,h2_storage,2030,325,325,-0.0,0.0,0.0
326,h2_storage,2030,326,326,-0.0,0.0,0.0
327,h2_storage,2030,327,327,-0.0,0.0,0.0
328,h2_storage,2030,328,328,-0.0,0.0,0.0
329,h2_storage,2030,329,329,-0.0,0.0,0.0
330,h2_storage,2030,330,330,-0.0,0.0,0.0
331,h2_storage,2030,331,331,-0.0,0.0,0.0
332,h2_storage,2030,332,332,-0.0,0.0,0.0
333,h2_storage,2030,333,333,-0.0,0.0,0.0
334,h2_storage,2030,334,334,-0.0,0.0,0.0
335,h2_storage,2030,335,335,-0.0,0.0,0.0
336,h2_storage,2030,336,336,-0.0,0.0,0.0
337,h2_storage,2030,337,337,-0.0,0.0,0.0
338,h2_storage,2030,338,338,-0.0,0.0,0.0
339,h2_storage,2030,339,339,-0.0,0.0,0.0
340,h2_storage,2030,340,340,-0.0,0.0,0.0
341,h2_storage,2030,341,341,-0.0,0.0,0.0
342,h2_storage,2030,342,342,-0.0,0.0,0.0
343,h2_storage,2030,343,343,-0.0,0.0,0.0
344,h2_storage,2030,344,344,-0.0,0.0,0.0
345,h2_storage,2030,345,345,-0.0,0.0,0.0
346,h2_storage,2030,346,346,-0.0,0.0,0.0
347,h2_storage,2030,347,347,-0.0,0.0,0.0
348,h2_storage,2030,348,348,-0.0,0.0,0.0
349,h2_storage,2030,349,349,-0.0,0.0,0.0
350,h2_storage,2030,350,350,-0.0,0.0,0.0
351,h2_storage,2030,351,351,-0.0,0.0,0.0
352,h2_storage,2030,352,352,-0.0,0.0,0.0
353,h2_storage,2030,353,353,-0.0,0.0,0.0
354,h2_storage,2030,354,354,-0.0,0.0,0.0
355,h2_storage,2030,355,355,-0.0,0.0,0.0
356,h2_storage,2030,356,356,-0.0,0.0,0.0
357,h2_storage,2030,357,357,-0.0,0.0,0.0
358,h2_storage,2030,358,358,-0.0,0.0,0.0
359,h2_storage,2030,359,359,-0.0,0.0,0.0
360,h2_storage,2030,360,360,-0.0,0.0,0.0
361,h2_storage,2030,361,361,-0.0,0.0,0.0
362,h2_storage,2030,362,362,-0.0,0.0,0.0
363,h2_storage,2030,363,363,-0.0,0.0,0.0
364,h2_storage,2030,364,364,-0.0,0.0,0.0
365,h2_storage,2030,365,365,-0.0,0.0,0.0
